heat_capacity mean,heat_capacity std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
0.18101996235159928,0.013672618248115165,0.0,0.0,0.058645712246118656,0.039290488134449256,0.3829787234042553,0.8936170212765957,1.0,1.0,1.0,1.0,0.46808510638297873,0.10638297872340426,0.46808510638297873,1.0,1.0,0.5319148936170213,7.80144610441881e-05,2,2,,1.0,4,0
0.33401314475820293,0.0,0.04800751129040167,0.0,0.07249431904272814,0.04185960637376588,0.5,0.8833333333333333,1.0,1.0,1.0,1.0,0.6,0.08333333333333333,0.6,1.0,1.0,0.4,9.456298308386436e-05,3,3,,1.0,8,1
0.18180641240125203,0.04279175511184935,0.0,0.0,0.08127440435588422,0.05418418653084628,0.35714285714285715,0.7321428571428571,1.0,1.0,1.0,1.0,0.6071428571428571,0.10714285714285714,0.6071428571428571,1.0,1.0,0.39285714285714285,5.3191677984673705e-05,5,5,,1.0,12,2
0.15317035202780238,0.013639616887717901,0.0,0.0,0.08533510062760705,0.044300400314746434,0.3888888888888889,0.7962962962962963,1.0,1.0,1.0,1.0,0.5740740740740741,0.018518518518518517,0.5740740740740741,1.0,1.0,0.42592592592592593,3.3097044079352525e-05,8,8,,1.0,16,3
0.41928091576806004,0.0,0.09673195186746288,0.0,0.0701695474291205,0.037707591634160625,0.4576271186440678,0.8305084745762712,1.0,1.0,1.0,1.0,0.6101694915254238,0.13559322033898305,0.6101694915254238,1.0,1.0,0.3898305084745763,4.8463528830480485e-05,9,9,,1.0,20,4
0.1691907267339613,0.0,0.0,0.0,0.06239438051362479,0.023012222165421318,0.43137254901960786,0.7843137254901961,1.0,1.0,1.0,1.0,0.6470588235294118,0.0784313725490196,0.6470588235294118,1.0,1.0,0.35294117647058826,9.101687121821944e-05,10,10,,1.0,24,5
0.16963486292206806,0.0168190297152008,0.0,0.0,0.0718876772154068,0.03702174137887637,0.4074074074074074,0.7777777777777778,1.0,1.0,1.0,1.0,0.6111111111111112,0.1111111111111111,0.6111111111111112,1.0,1.0,0.3888888888888889,5.555575256177031e-05,12,12,,1.0,28,6
0.209836233113471,0.05184517119246753,0.005651262070420431,0.007992091464513231,0.06779018338053884,0.03424892060441413,0.375,0.7142857142857143,1.0,1.0,1.0,1.0,0.625,0.10714285714285714,0.625,1.0,1.0,0.375,3.191500679080422e-05,15,15,,1.0,32,7
0.568717908831538,0.0,0.18212451933230747,0.0,0.07118966695051256,0.051829060677599306,0.30357142857142855,0.7857142857142857,1.0,1.0,1.0,1.0,0.48214285714285715,0.03571428571428571,0.48214285714285715,1.0,1.0,0.5178571428571429,6.264797629306015e-05,16,16,,1.0,36,8
0.2348292349878425,0.0200961306284603,0.0014072473189436577,0.0014072473189436577,0.0909977927386624,0.06663575870964838,0.2962962962962963,0.6296296296296297,1.0,1.0,1.0,1.0,0.6481481481481481,0.2222222222222222,0.6481481481481481,1.0,0.9814814814814815,0.35185185185185186,3.664315594499744e-05,18,18,,1.0,40,9
