model,descriptor,best_pca,avg_R2,avg_RMSE,avg_Spearman
gp,mace,50,0.09404208865305762,7.9403929099498605,0.6950414384997908
gp,orb,50,0.09636947214003465,7.836685960886248,0.7461055337966991
gp,soap,50,0.13188675298564037,7.59539596828,0.5494456550956411
gp,uma,25,-0.07776987068839686,8.139786934394987,0.6089983257853172
mtgp_2,mace,50,0.07539026051188245,7.902129175818569,0.7146775466465027
mtgp_2,orb,50,0.12127260262154498,7.845713033903786,0.7733442066396748
mtgp_2,soap,50,0.17676819145107062,7.2708388819632415,0.5825043173653441
mtgp_2,uma,50,-0.15672937447268653,8.48728630423579,0.6560975707486529
dgp,mace,25,0.2393043914490205,7.3063050184568405,0.7538531338356307
dgp,orb,10,0.3357831114715289,6.8818909821341725,0.7780695587267359
dgp,soap,50,-0.016240697466242526,7.458067729483831,0.01924492857160775
dgp,uma,25,0.17868924795948143,7.349451296943688,0.7424962599275369
