paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
mg,BASE,7,3006073,2,5,LiMnGeN,"('Ge', 'Li', 'Mn', 'N')",0.1876505473809756,0.5783884579167073,P2_1/m,11,8,5.198076781761931,LiMnGeN,False
mg,BASE,7,3006073,3,14,Li9Pb2,"('Li', 'Pb')",0.15927462798649,0.5287305989763575,C2/m,12,11,3.8596399205276595,Li9Pb2,False
mg,ACC,7,3006074,1,19,Li4Mg,"('Li', 'Mg')",1.0,2.0,C2/m,12,10,0.8661591434208953,Li4Mg,False
mg,ACC,7,3006074,2,14,Li5Mg3,"('Li', 'Mg')",0.8467623734543402,1.7318341535450954,Immm,71,8,1.0986371181210248,Li5Mg3,False
mg,ACC,7,3006074,3,15,Li9Mg7,"('Li', 'Mg')",0.7769599528247227,1.6096799174432648,P1,1,16,1.1676376892889546,Li9Mg7,False
cf,BASE,7,3006075,1,6,NaLi5,"('Li', 'Na')",1.0,2.0,P1,1,6,0.6748346632018688,NaLi5,False
cf,BASE,7,3006075,2,12,SrMg2PN,"('Mg', 'N', 'P', 'Sr')",0.1976518549159162,0.5958907461028533,Pm,6,5,2.964323149588979,SrMg2PN,False
cf,BASE,7,3006075,3,7,Al2Mo,"('Al', 'Mo')",0.1185644533836561,0.45748779342139817,P-1,2,6,5.382813893634522,Al2Mo,False
cf,ACC,7,3006076,1,3,LiMg,"('Li', 'Mg')",0.7178916257638972,1.50631034508682,Pm,6,6,1.2421112073206384,LiMg,False
cf,ACC,7,3006076,2,19,VF3,"('F', 'V')",0.3002109640009747,0.7753691870017057,Cc,9,8,3.048105260241276,VF3,False
cf,ACC,7,3006076,3,7,Al2Ga,"('Al', 'Ga')",0.1972448872903509,0.595178552758114,R3m,160,3,3.999118916969772,Al2Ga,False
adit,BASE,7,3006077,1,16,Li2CdSiO4,"('Cd', 'Li', 'O', 'Si')",0.2338491545486822,0.6592360204601938,Pm,6,16,3.9160099742495618,Li2CdSiO4,False
adit,BASE,7,3006077,2,9,KRbLiAgF6,"('Ag', 'F', 'K', 'Li', 'Rb')",0.2261996617928635,0.6458494081375111,Cm,8,10,3.911593010298795,KRbLiAgF6,False
