cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,12,4,12,0,0,1.5000,451,0.2532,0.0000,0.0805,0.0543,1254.25
1,7,4,4,3,0,1.5000,452,1.5158,0.0000,0.0975,0.0614,520.52
2,5,3,3,2,0,1.5000,454,0.1876,0.0000,0.0855,0.0575,297.15
3,11,4,4,7,0,1.5000,457,0.3156,0.0000,0.0867,0.0583,218.09
4,5,3,3,2,0,1.5000,458,0.2314,0.0000,0.0820,0.0561,379.43
5,7,4,4,3,0,1.5000,461,0.3008,0.0000,0.0879,0.0586,460.17
6,5,3,3,2,0,1.5000,462,0.2146,0.0001,0.0851,0.0575,412.57
7,5,3,3,2,0,1.5000,464,0.3126,0.0001,0.0818,0.0558,190.02
8,5,3,3,2,0,1.5000,464,nan,0.0001,0.0818,0.0558,309.99
9,6,3,3,3,0,1.5000,464,nan,0.0001,0.0818,0.0558,419.57
10,7,4,4,3,0,1.5000,466,0.2645,0.0001,0.0802,0.0543,404.00
11,5,3,3,2,0,1.5000,468,0.3576,0.0001,0.0795,0.0545,284.74
12,11,4,4,7,0,1.5000,470,0.2731,0.0001,0.0796,0.0541,208.70
13,7,4,4,3,0,1.5000,472,0.2068,0.0001,0.0852,0.0570,227.75
14,4,2,2,2,0,1.5000,472,nan,0.0001,0.0852,0.0570,158.55
15,6,3,3,3,0,1.5000,474,0.2326,0.0001,0.0811,0.0549,614.30
16,4,2,2,2,0,1.5000,474,nan,0.0001,0.0811,0.0549,623.27
17,3,2,2,1,0,1.5000,476,0.6295,0.0002,0.0802,0.0553,379.86
18,6,3,3,3,0,1.5000,477,0.3696,0.0002,0.0783,0.0539,241.49
19,4,2,2,2,0,1.5000,479,0.3945,0.0002,0.0788,0.0534,411.13
