cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,10,4,10,0,0,300.0000,510,122.6541,0.0098,24.0108,15.3758,589.05
1,9,4,4,5,0,300.0000,514,110.4065,0.0097,27.4053,16.6561,101.18
2,6,3,3,3,0,300.0000,517,81.3345,0.0097,26.9979,16.2874,116.03
3,9,4,4,5,0,300.0000,521,125.8828,0.0098,27.6116,16.5952,136.13
4,9,4,4,5,0,300.0000,525,111.6074,0.0098,23.6284,14.8249,127.82
5,11,4,4,7,0,300.0000,529,116.0404,0.0098,24.1046,15.0236,112.73
6,8,4,4,4,0,300.0000,533,67.5295,0.0098,26.1625,15.4050,122.86
7,9,4,4,5,0,300.0000,537,122.4299,0.0098,28.1633,16.7034,131.94
8,9,4,4,5,0,300.0000,541,128.0701,0.0096,24.7984,14.3272,99.14
9,16,4,4,12,0,300.0000,545,91.0910,0.0096,24.0209,14.4093,116.78
10,8,4,4,4,0,300.0000,549,122.0695,0.0097,22.3536,14.1600,152.65
11,11,4,4,7,0,300.0000,553,81.3991,0.0096,24.7141,14.4468,117.18
12,12,4,4,8,0,300.0000,557,121.1697,0.0095,24.8633,14.1610,85.18
13,9,4,4,5,0,300.0000,561,104.8722,0.0095,24.6307,14.8966,129.70
14,11,4,4,7,0,300.0000,565,80.6663,0.0094,23.0131,14.1383,98.80
15,16,4,4,12,0,300.0000,569,72.0351,0.0093,21.7205,13.8300,128.78
16,9,4,4,5,0,300.0000,573,82.1723,0.0092,22.8466,14.0186,107.88
17,8,4,4,4,0,300.0000,577,82.9157,0.0092,22.4414,14.2555,99.56
18,13,4,4,9,0,300.0000,581,89.8962,0.0091,23.1524,14.2143,104.17
19,1,1,1,0,0,300.0000,582,86.2363,0.0091,25.1554,15.1541,91.80
