cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,14,8,14,0,0,1.5000,450,0.3984,0.0000,0.0809,0.0533,1476.37
1,7,8,7,0,0,1.5000,454,0.2318,0.0000,0.0810,0.0540,522.34
2,6,8,6,0,0,1.5000,455,0.1751,0.0000,0.0789,0.0521,393.58
3,8,8,8,0,0,1.5000,457,0.2408,0.0000,0.0824,0.0543,382.33
4,10,8,8,2,0,1.5000,459,0.3562,0.0000,0.0823,0.0534,487.25
5,8,8,8,0,1,1.5000,462,0.2858,0.0000,0.0826,0.0550,922.41
6,7,8,7,0,0,1.5000,466,0.2808,0.0001,0.0820,0.0536,492.09
7,7,8,7,0,0,1.5000,468,0.2548,0.0001,0.0814,0.0547,542.23
8,6,8,6,0,0,1.5000,470,0.4126,0.0001,0.0831,0.0555,640.65
9,8,8,8,0,0,1.5000,472,0.1466,0.0001,0.0833,0.0540,544.43
10,5,8,5,0,1,1.5000,475,0.2945,0.0001,0.0809,0.0529,430.62
11,5,8,5,0,0,1.5000,478,0.2743,0.0001,0.0799,0.0533,182.66
12,6,8,6,0,0,1.5000,479,0.2448,0.0001,0.0804,0.0527,667.11
13,8,8,8,0,0,1.5000,484,0.4104,0.0001,0.0809,0.0531,773.65
14,5,8,5,0,0,1.5000,486,0.2218,0.0001,0.0827,0.0535,380.55
15,10,8,10,0,1,1.5000,491,0.3299,0.0001,0.0823,0.0537,536.26
16,3,8,3,0,0,1.5000,492,0.1606,0.0001,0.0844,0.0547,230.79
17,12,8,8,4,0,1.5000,496,0.2211,0.0001,0.0821,0.0536,503.62
18,7,8,7,0,0,1.5000,498,0.4815,0.0001,0.0835,0.0533,649.80
19,9,8,8,1,0,1.5000,502,0.2371,0.0002,0.0822,0.0541,472.65
