heat_capacity mean,heat_capacity std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
0.24634156536628266,0.0504580016112073,0.010264699031559152,0.01436661873181211,0.2343582491876429,0.9706058074714696,0.16326530612244897,0.2857142857142857,1.0,1.0,1.0,1.0,0.8775510204081632,0.20408163265306123,0.8775510204081632,1.0,1.0,0.12244897959183673,1.0638335596934742e-05,5,5,,1.0,8,0
0.34935831630695446,0.0,0.05677618074683112,0.0,0.269466386049289,0.9647396423541498,0.0851063829787234,0.2765957446808511,1.0,1.0,1.0,1.0,0.7659574468085106,0.3191489361702128,0.7659574468085106,1.0,1.0,0.23404255319148937,3.073296950225592e-05,6,6,,1.0,12,1
0.2169223782500846,0.05756944442093441,0.006997663620291147,0.006997663620291147,0.2006171303346391,0.9273926446974539,0.08888888888888889,0.2,1.0,1.0,1.0,1.0,0.8444444444444444,0.2222222222222222,0.8444444444444444,1.0,1.0,0.15555555555555556,1.773055932822457e-05,8,8,,1.0,16,2
0.2838621473663775,0.1084549230502422,0.03384734654244727,0.0472108343064485,0.27039515303442324,0.9988529539868028,0.12,0.2,1.0,1.0,1.0,1.0,0.92,0.2,0.92,1.0,1.0,0.08,1.4184447462579654e-05,12,12,,1.0,22,3
0.3426782770486887,0.053606996839669296,0.05295901545639354,0.030632569622668172,0.25019431913725904,0.8959444925984426,0.14634146341463414,0.24390243902439024,1.0,1.0,1.0,1.0,0.8780487804878049,0.2682926829268293,0.8780487804878049,1.0,1.0,0.12195121951219512,1.6548522039676263e-05,14,14,,1.0,28,4
0.24966645607517846,0.022491736733049925,0.0063309122309223986,0.0063309122309223986,0.2790450042036126,0.8616429572348169,0.11538461538461539,0.34615384615384615,1.0,1.0,1.0,1.0,0.75,0.28846153846153844,0.75,1.0,1.0,0.25,3.546111865644914e-05,16,16,,1.0,34,5
0.33811364584285647,0.0,0.050350654767346556,0.0,0.18451847648147954,0.9707223001569267,0.11538461538461539,0.3076923076923077,1.0,1.0,1.0,1.0,0.7884615384615384,0.23076923076923078,0.7884615384615384,1.0,1.0,0.21153846153846154,2.9550932213707615e-05,17,17,,1.0,40,6
0.09868586344146321,0.09868586344146321,0.0,0.0,0.20558155509780474,1.082604090692745,0.14583333333333334,0.22916666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,0.3541666666666667,0.9166666666666666,1.0,1.0,0.08333333333333333,1.536648475112796e-05,19,19,,1.0,47,7
0.2756829155177296,0.10106448191807942,0.02905683173200957,0.04343614585531282,0.2298572943171468,0.9587853543807447,0.14,0.34,1.0,1.0,1.0,1.0,0.78,0.18,0.78,1.0,1.0,0.22,2.4822783059514394e-05,23,23,,1.0,54,8
0.4222030744575734,0.03628488937004485,0.09840175683289908,0.020734222497168484,0.19827165575602773,1.0875396292257349,0.14893617021276595,0.2553191489361702,1.0,1.0,1.0,1.0,0.8723404255319149,0.1702127659574468,0.8723404255319149,1.0,1.0,0.1276595744680851,9.456298308386437e-06,26,26,,1.0,61,9
