cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,15,4,15,0,0,1.5000,450,0.4386,0.0000,0.0762,0.0511,1300.99
1,5,3,3,2,0,1.5000,450,nan,0.0000,0.0762,0.0511,169.63
2,5,3,3,2,0,1.5000,451,0.3647,0.0000,0.0754,0.0513,140.23
3,10,4,4,6,0,1.5000,453,0.2848,0.0000,0.0803,0.0526,152.23
4,10,4,4,6,0,1.5000,456,0.4032,0.0000,0.0747,0.0498,168.61
5,9,4,4,5,0,1.5000,458,0.3870,0.0001,0.0738,0.0498,182.47
6,12,4,4,8,0,1.5000,460,0.1882,0.0001,0.0785,0.0517,169.36
7,5,3,3,2,0,1.5000,462,0.3368,0.0001,0.0789,0.0512,152.78
8,7,4,4,3,0,1.5000,464,0.5985,0.0001,0.0766,0.0517,283.12
9,7,4,4,3,0,1.5000,466,0.2111,0.0001,0.0740,0.0496,74.94
10,15,4,4,11,0,1.5000,467,0.2804,0.0001,0.0767,0.0503,207.58
11,11,4,4,7,0,1.5000,469,0.5823,0.0001,0.0761,0.0512,268.69
12,9,4,4,5,0,1.5000,472,0.4314,0.0001,0.0748,0.0506,127.04
13,6,3,3,3,0,1.5000,474,0.2263,0.0001,0.0783,0.0523,156.70
14,10,4,4,6,0,1.5000,477,0.2607,0.0001,0.0764,0.0533,177.09
15,10,4,4,6,0,1.5000,479,0.3525,0.0001,0.0741,0.0501,183.10
16,11,4,4,7,0,1.5000,481,0.2186,0.0001,0.0778,0.0519,204.73
17,8,4,4,4,0,1.5000,482,0.2307,0.0002,0.0806,0.0535,252.21
18,11,4,4,7,0,1.5000,485,0.4653,0.0002,0.0749,0.0511,180.97
19,7,4,4,3,0,1.5000,486,0.2695,0.0002,0.0787,0.0539,208.94
