bulk_modulus mean,bulk_modulus std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
63.925891213542045,48.04765360761779,0.11933430893754493,0.12267038057075655,0.07276378415617886,0.06207331724842581,0.2857142857142857,0.7321428571428571,1.0,1.0,1.0,1.0,0.5535714285714286,0.08928571428571429,0.5535714285714286,1.0,0.9821428571428571,0.44642857142857145,7.683242375563979e-05,16,16,,1.0,16,0
97.06491712317946,61.48332427358368,0.204534825859626,0.15948166067070843,0.07839810124456133,0.04871034881257278,0.4067796610169492,0.7627118644067796,1.0,1.0,1.0,1.0,0.6271186440677966,0.06779661016949153,0.6271186440677966,1.0,0.9830508474576272,0.3728813559322034,7.80144610441881e-05,40,40,,1.0,40,1
98.22379997327157,63.43030939669737,0.20643316502110606,0.16618741192418837,0.07636500852355059,0.0556665279369075,0.5471698113207547,0.8113207547169812,1.0,1.0,1.0,1.0,0.7169811320754716,0.1509433962264151,0.7169811320754716,1.0,1.0,0.2830188679245283,2.1276671193869483e-05,69,69,,1.0,69,2
82.49648349324569,67.52421870820025,0.16566112245496084,0.17653415962747313,0.06346999718953075,0.04180632215901395,0.37735849056603776,0.8301886792452831,1.0,1.0,1.0,1.0,0.5471698113207547,0.05660377358490566,0.5471698113207547,1.0,1.0,0.4528301886792453,6.028390171596353e-05,89,89,,1.0,89,3
108.28437677081838,88.82614655130591,0.2323273072916273,0.23375301724027872,0.080969746162221,0.049936548491911203,0.2830188679245283,0.6792452830188679,1.0,1.0,1.0,1.0,0.5471698113207547,0.05660377358490566,0.5471698113207547,1.0,1.0,0.4528301886792453,5.08276034075771e-05,104,104,,1.0,104,4
101.87306649509456,67.79304094754899,0.21545543814498574,0.17840273933565526,0.08177171814063178,0.06230173858742946,0.4,0.7090909090909091,1.0,1.0,1.0,1.0,0.6727272727272727,0.14545454545454545,0.6727272727272727,1.0,1.0,0.32727272727272727,4.4917416964835574e-05,126,126,,1.0,126,5
89.06822629975616,66.163616334759,0.18217070608589253,0.1736765967968855,0.09866548716670646,0.049750169266131856,0.2857142857142857,0.6938775510204082,1.0,1.0,1.0,1.0,0.5714285714285714,0.10204081632653061,0.5714285714285714,1.0,0.9795918367346939,0.42857142857142855,4.373537967628727e-05,140,140,,1.0,140,6
112.74611612263115,64.73748753626059,0.24582336290082332,0.16759055741520976,0.07152290947987008,0.041517382228615375,0.45454545454545453,0.7818181818181819,1.0,1.0,1.0,1.0,0.6181818181818182,0.10909090909090909,0.6181818181818182,1.0,0.9818181818181818,0.38181818181818183,4.4917416964835574e-05,165,165,,1.0,165,7
113.50327619316467,81.60954449642729,0.24892762653120126,0.21118017642002154,0.07894830731125471,0.025838125434434128,0.23214285714285715,0.6607142857142857,1.0,1.0,1.0,1.0,0.5178571428571429,0.16071428571428573,0.5178571428571429,1.0,1.0,0.48214285714285715,7.565038646709149e-05,178,177,,0.9943820224719101,178,8
110.3312528289808,79.54998424238056,0.23771382323416002,0.2093420637957383,0.06078962334357923,0.07832363116973018,0.43636363636363634,0.8545454545454545,1.0,1.0,1.0,1.0,0.5636363636363636,0.14545454545454545,0.5636363636363636,1.0,0.9818181818181818,0.43636363636363634,4.255334238773897e-05,202,201,,0.995049504950495,202,9
