heat_capacity mean,heat_capacity std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
0.2757536443526395,0.0,0.014716368201508281,0.0,0.09020205008394573,0.06592110810925463,0.38596491228070173,0.7719298245614035,1.0,1.0,1.0,1.0,0.5789473684210527,0.08771929824561403,0.5789473684210527,1.0,1.0,0.42105263157894735,3.3097044079352525e-05,1,1,,1.0,4,0
0.1730915485202289,0.0035591492090505245,0.0,0.0,0.07240201379377888,0.03732342934568564,0.4074074074074074,0.7407407407407407,1.0,1.0,1.0,1.0,0.6666666666666666,0.07407407407407407,0.6666666666666666,1.0,1.0,0.3333333333333333,4.373537967628727e-05,3,3,,1.0,8,1
0.16728142808370405,0.01590738472815109,0.0,0.0,0.0704236683958789,0.044183155467384765,0.39285714285714285,0.7678571428571429,1.0,1.0,1.0,1.0,0.6071428571428571,0.08928571428571429,0.6071428571428571,1.0,1.0,0.39285714285714285,3.546111865644914e-05,5,5,,1.0,12,2
0.22113601355536197,0.0,0.0,0.0,0.059536108282141086,0.022899200491889215,0.36363636363636365,0.8727272727272727,1.0,1.0,1.0,1.0,0.4909090909090909,0.14545454545454545,0.4909090909090909,1.0,1.0,0.509090909090909,4.964556611902879e-05,6,6,,1.0,16,3
0.19612583390566213,0.030054025324241777,0.0,0.0,0.060959758829797935,0.03829297949550887,0.4067796610169492,0.8135593220338984,1.0,1.0,1.0,1.0,0.559322033898305,0.06779661016949153,0.559322033898305,1.0,1.0,0.4406779661016949,6.146593900451184e-05,10,10,,1.0,20,4
0.20497390943154237,0.035954650620350345,0.0,0.0,0.06244370811165806,0.05626779054521538,0.47368421052631576,0.8771929824561403,1.0,1.0,1.0,1.0,0.5789473684210527,0.05263157894736842,0.5789473684210527,1.0,1.0,0.42105263157894735,4.373537967628727e-05,12,12,,1.0,24,5
0.23607454484076223,0.0,0.0,0.0,0.073757876487345,0.028046814924290817,0.25,0.7884615384615384,1.0,1.0,1.0,1.0,0.4423076923076923,0.057692307692307696,0.4423076923076923,1.0,1.0,0.5576923076923077,7.092223731289828e-05,13,13,,1.0,28,6
0.2577889182114122,0.040633946776542626,0.013835104282272812,0.013835104282272812,0.0718371852603631,0.04173411177908307,0.38181818181818183,0.7818181818181819,1.0,1.0,1.0,1.0,0.6,0.10909090909090909,0.6,1.0,1.0,0.4,4.018926781064235e-05,15,15,,1.0,32,7
0.2587704923839861,0.0,0.005011709933706333,0.0,0.06863831763078966,0.028424299325196804,0.375,0.8214285714285714,1.0,1.0,1.0,1.0,0.5357142857142857,0.07142857142857142,0.5357142857142857,1.0,1.0,0.4642857142857143,4.4917416964835574e-05,16,16,,1.0,36,8
0.24575183993545194,0.0,0.0,0.0,0.07275584339395928,0.04832992271666127,0.43103448275862066,0.8103448275862069,1.0,1.0,1.0,1.0,0.603448275862069,0.05172413793103448,0.603448275862069,1.0,1.0,0.39655172413793105,3.191500679080422e-05,17,17,,1.0,40,9
0.23563640342020406,0.04733289371165626,0.007190640881825215,0.005990755026647064,0.06321993529157598,0.10114167795606241,0.40384615384615385,0.8653846153846154,1.0,1.0,1.0,1.0,0.5384615384615384,0.038461538461538464,0.5384615384615384,1.0,1.0,0.46153846153846156,4.255334238773897e-05,20,20,,1.0,44,10
0.29658372053067156,0.006996117647362687,0.026619268874669463,0.003997781512778678,0.07268716646895101,0.0700277691633469,0.47058823529411764,0.8235294117647058,1.0,1.0,1.0,1.0,0.6470588235294118,0.0784313725490196,0.6470588235294118,1.0,1.0,0.35294117647058826,4.255334238773897e-05,22,22,,1.0,48,11
0.26706945539438554,0.11480107571746842,0.037677294603386854,0.037677294603386854,0.05635574199457488,0.04402534774298189,0.3333333333333333,0.8148148148148148,1.0,1.0,1.0,1.0,0.5185185185185185,0.1111111111111111,0.5185185185185185,1.0,1.0,0.48148148148148145,4.137130509919066e-05,24,24,,1.0,52,12
0.2987842408870858,0.0,0.027876709078334727,0.0,0.07185744887877862,0.028115335939019607,0.3559322033898305,0.7627118644067796,1.0,1.0,1.0,1.0,0.559322033898305,0.05084745762711865,0.559322033898305,1.0,1.0,0.4406779661016949,5.08276034075771e-05,25,25,,1.0,56,13
0.23823249459979884,0.006419761568887253,0.0,0.0,0.06883649380431694,0.026769428430304536,0.36363636363636365,0.8363636363636363,1.0,1.0,1.0,1.0,0.509090909090909,0.03636363636363636,0.509090909090909,1.0,1.0,0.4909090909090909,5.437371527322201e-05,27,27,,1.0,60,14
0.4977868461334822,0.0,0.14159248350484696,0.0,0.06206976830475369,0.08909262531551969,0.42,0.82,1.0,1.0,1.0,1.0,0.6,0.06,0.6,1.0,0.98,0.4,4.4917416964835574e-05,28,28,,1.0,64,15
0.17763151825103815,0.0016877815102487037,0.0,0.0,0.07561189991103005,0.07272190993429353,0.3114754098360656,0.7540983606557377,1.0,1.0,1.0,1.0,0.5245901639344263,0.04918032786885246,0.5245901639344263,1.0,1.0,0.47540983606557374,6.028390171596353e-05,30,30,,1.0,68,16
0.25263845085186104,0.012256299036675009,0.004255642825296018,0.004255642825296018,0.06313882840611096,0.045607418121550246,0.3770491803278688,0.7868852459016393,1.0,1.0,1.0,1.0,0.5901639344262295,0.04918032786885246,0.5901639344262295,1.0,1.0,0.4098360655737705,5.910186442741523e-05,32,32,,1.0,72,17
