cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,1.5000,456,0.2492,0.0000,0.0824,0.0529,2413.24
1,16,4,4,12,0,1.5000,458,0.1848,0.0000,0.0850,0.0540,263.46
2,16,4,4,12,0,1.5000,461,0.2616,0.0000,0.0807,0.0531,336.10
3,16,4,4,12,0,1.5000,461,nan,0.0000,0.0807,0.0531,418.07
4,16,4,4,12,0,1.5000,464,0.3144,0.0000,0.0850,0.0553,208.58
5,16,4,4,12,0,1.5000,467,0.1762,0.0001,0.0826,0.0543,251.26
6,16,4,4,12,0,1.5000,468,0.1623,0.0001,0.0827,0.0544,393.14
7,16,4,4,12,0,1.5000,470,0.4583,0.0001,0.0818,0.0533,255.61
8,16,4,4,12,0,1.5000,473,0.4013,0.0001,0.0816,0.0535,293.95
9,16,4,4,12,0,1.5000,477,0.2550,0.0001,0.0792,0.0528,294.03
10,16,4,4,12,0,1.5000,479,0.3321,0.0001,0.0773,0.0508,335.32
11,16,4,4,12,0,1.5000,483,0.2866,0.0001,0.0809,0.0535,247.82
12,16,4,4,12,0,1.5000,487,0.3165,0.0001,0.0796,0.0520,415.28
13,16,4,4,12,0,1.5000,491,0.3072,0.0001,0.0794,0.0525,430.60
14,16,4,4,12,0,1.5000,493,0.2472,0.0001,0.0797,0.0521,257.35
15,16,4,4,12,0,1.5000,496,0.2522,0.0001,0.0822,0.0543,319.03
16,16,4,4,12,0,1.5000,499,0.2603,0.0001,0.0821,0.0532,219.25
17,16,4,4,12,0,1.5000,503,0.2945,0.0002,0.0783,0.0503,347.80
18,16,4,4,12,0,1.5000,506,0.3135,0.0002,0.0798,0.0513,494.00
19,16,4,4,12,0,1.5000,508,0.2837,0.0002,0.0788,0.0495,404.59
