cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,1.5000,453,0.2605,0.0000,0.0862,0.0529,1550.22
1,16,4,4,12,0,1.5000,456,0.3913,0.0000,0.0844,0.0541,391.06
2,13,4,4,9,0,1.5000,457,0.3119,0.0000,0.0848,0.0535,378.08
3,15,4,4,11,0,1.5000,461,0.2884,0.0000,0.0860,0.0552,261.30
4,16,4,4,12,0,1.5000,463,0.5374,0.0000,0.0936,0.0559,300.41
5,16,4,4,12,0,1.5000,465,0.2140,0.0001,0.0917,0.0561,246.87
6,16,4,4,12,0,1.5000,468,0.2200,0.0001,0.0835,0.0544,351.05
7,16,4,4,12,0,1.5000,470,0.3379,0.0001,0.0874,0.0527,344.95
8,16,4,4,12,0,1.5000,472,0.2280,0.0001,0.0835,0.0537,335.27
9,16,4,4,12,0,1.5000,475,0.5473,0.0001,0.0875,0.0548,356.92
10,16,4,4,12,0,1.5000,477,0.2887,0.0001,0.0837,0.0548,436.04
11,16,4,4,12,0,1.5000,480,0.3877,0.0001,0.0819,0.0518,405.88
12,16,4,4,12,0,1.5000,482,0.1715,0.0001,0.0880,0.0544,386.55
13,16,4,4,12,0,1.5000,485,0.3005,0.0001,0.0950,0.0545,335.71
14,16,4,4,12,0,1.5000,488,0.7238,0.0001,0.0809,0.0514,274.84
15,16,4,4,12,0,1.5000,492,0.7390,0.0001,0.0875,0.0542,518.01
16,16,4,4,12,0,1.5000,494,0.6643,0.0001,0.0924,0.0572,415.39
17,16,4,4,12,0,1.5000,494,nan,0.0002,0.0924,0.0572,285.83
18,16,4,4,12,0,1.5000,498,0.5655,0.0002,0.0941,0.0593,421.48
19,16,4,4,12,0,1.5000,500,1.2257,0.0002,0.1039,0.0619,466.05
