cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,8,4,8,0,0,1.5000,450,0.3564,0.0000,0.0802,0.0547,1725.43
1,12,4,4,8,0,1.5000,450,nan,0.0000,0.0802,0.0547,349.89
2,12,4,4,8,0,1.5000,453,0.3202,0.0000,0.0784,0.0537,444.15
3,14,4,4,10,0,1.5000,455,0.2931,0.0000,0.0784,0.0540,303.23
4,12,4,4,8,0,1.5000,457,0.7162,0.0000,0.0842,0.0587,165.48
5,7,4,4,3,0,1.5000,459,0.1765,0.0000,0.0843,0.0554,394.17
6,12,4,4,8,0,1.5000,460,0.2237,0.0000,0.0855,0.0557,612.00
7,14,4,4,10,0,1.5000,463,0.2625,0.0000,0.0836,0.0569,483.51
8,4,2,2,2,0,1.5000,465,0.2136,0.0000,0.0805,0.0534,359.99
9,10,4,4,6,0,1.5000,466,0.3409,0.0001,0.0835,0.0539,514.10
10,7,4,4,3,0,1.5000,467,0.2172,0.0001,0.0864,0.0557,485.04
11,10,4,4,6,0,1.5000,469,0.2947,0.0001,0.0846,0.0569,390.14
12,11,4,4,7,0,1.5000,471,0.2084,0.0001,0.0797,0.0539,422.66
13,13,4,4,9,0,1.5000,472,0.2063,0.0001,0.0855,0.0548,417.75
14,10,4,4,6,0,1.5000,474,0.5219,0.0001,0.0872,0.0557,319.80
15,6,3,3,3,0,1.5000,476,0.3895,0.0001,0.0905,0.0569,474.87
16,9,4,4,5,0,1.5000,477,0.1469,0.0001,0.0882,0.0558,278.27
17,9,4,4,5,0,1.5000,479,0.2295,0.0001,0.0891,0.0573,353.66
18,6,3,3,3,0,1.5000,482,0.3403,0.0001,0.0838,0.0548,484.45
19,7,4,4,3,0,1.5000,484,0.5154,0.0002,0.0854,0.0553,244.94
