cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,7,8,7,0,0,1.5000,450,0.4049,0.0000,0.0810,0.0525,1775.79
1,14,8,8,6,0,1.5000,456,0.2853,0.0000,0.0835,0.0554,614.09
2,8,8,8,0,0,1.5000,462,0.4595,0.0000,0.0842,0.0549,763.56
3,12,8,8,4,0,1.5000,464,0.4037,0.0000,0.0856,0.0575,963.02
4,5,8,5,0,0,1.5000,466,0.3058,0.0000,0.0850,0.0555,609.06
5,6,8,6,0,1,1.5000,470,0.4363,0.0000,0.0827,0.0546,529.77
6,8,8,8,0,0,1.5000,472,0.4333,0.0000,0.0853,0.0565,1206.65
7,7,8,7,0,0,1.5000,473,0.8588,0.0001,0.0828,0.0548,734.11
8,6,8,6,0,0,1.5000,473,nan,0.0001,0.0828,0.0548,528.17
9,10,8,8,2,0,1.5000,476,0.2311,0.0001,0.0830,0.0552,566.36
10,9,8,9,0,1,1.5000,479,0.2602,0.0001,0.0839,0.0548,1094.07
11,7,8,7,0,0,1.5000,481,0.2809,0.0001,0.0846,0.0563,707.65
12,10,8,8,2,0,1.5000,482,0.2529,0.0001,0.0853,0.0551,794.29
13,9,8,8,1,0,1.5000,485,0.8257,0.0001,0.0850,0.0565,378.89
14,5,8,5,0,0,1.5000,486,0.2504,0.0001,0.0849,0.0553,598.69
15,11,8,11,0,1,1.5000,492,0.3224,0.0001,0.0868,0.0575,752.60
16,9,8,8,1,0,1.5000,497,0.2875,0.0001,0.0869,0.0573,1042.55
17,10,8,8,2,0,1.5000,499,0.3406,0.0001,0.0859,0.0580,812.98
18,16,8,8,8,0,1.5000,500,0.2632,0.0002,0.0829,0.0551,477.57
19,7,8,7,0,0,1.5000,503,0.4702,0.0002,0.0868,0.0570,757.73
