cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,6,8,6,0,0,1.5000,448,0.4368,0.0000,0.0931,0.0597,801.21
1,9,8,8,1,0,1.5000,451,0.2061,0.0000,0.0907,0.0571,369.00
2,10,8,8,2,0,1.5000,455,0.3041,0.0000,0.0833,0.0534,1038.58
3,6,8,6,0,0,1.5000,455,nan,0.0000,0.0833,0.0534,511.52
4,7,8,7,0,0,1.5000,457,0.2379,0.0000,0.0828,0.0554,584.39
5,3,8,3,0,1,1.5000,458,0.3996,0.0001,0.0920,0.0577,177.09
6,6,8,6,0,0,1.5000,461,0.1756,0.0001,0.0817,0.0527,456.91
7,4,8,4,0,0,1.5000,463,0.2640,0.0001,0.0811,0.0529,282.88
8,4,8,4,0,0,1.5000,466,0.3329,0.0001,0.0813,0.0523,510.38
9,3,8,3,0,0,1.5000,468,0.4703,0.0001,0.0873,0.0573,325.94
10,5,8,5,0,1,1.5000,470,0.2584,0.0001,0.0876,0.0555,655.33
11,5,8,5,0,0,1.5000,471,0.2384,0.0001,0.0784,0.0514,563.97
12,6,8,6,0,0,1.5000,474,0.3232,0.0001,0.0884,0.0555,691.17
13,4,8,4,0,0,1.5000,476,0.1845,0.0001,0.0793,0.0512,392.93
14,8,8,8,0,0,1.5000,478,0.4768,0.0001,0.0834,0.0539,710.92
15,10,8,10,0,1,1.5000,483,0.2588,0.0001,0.0852,0.0560,575.28
16,4,8,4,0,0,1.5000,483,nan,0.0001,0.0852,0.0560,278.73
17,6,8,6,0,0,1.5000,484,0.1251,0.0002,0.0923,0.0586,474.65
18,10,8,8,2,0,1.5000,489,0.1543,0.0002,0.0869,0.0572,509.82
19,7,8,7,0,0,1.5000,490,0.2956,0.0002,0.0862,0.0565,596.41
