cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,5,8,5,0,0,1.5000,160,0.0000,nan,nan,nan,826.70,nan,nan,nan
1,4,8,4,0,0,1.5000,162,0.1790,nan,nan,nan,497.53,nan,nan,nan
2,8,8,8,0,0,1.5000,164,0.1100,nan,nan,nan,640.63,nan,nan,nan
3,5,8,5,0,0,1.5000,166,0.2029,nan,nan,nan,303.09,nan,nan,nan
4,7,8,7,0,0,1.5000,170,0.1479,nan,nan,nan,314.24,nan,nan,nan
5,8,8,8,0,1,1.5000,172,0.0890,nan,nan,nan,614.39,nan,nan,nan
6,9,8,8,1,0,1.5000,177,0.3916,0.0000,0.0000,0.0000,376.89,nan,nan,nan
7,4,8,4,0,0,1.5000,177,0.0000,nan,nan,nan,433.12,nan,nan,nan
8,4,8,4,0,0,1.5000,178,0.0629,nan,nan,nan,479.15,nan,nan,nan
9,4,8,4,0,0,1.5000,179,0.0722,nan,nan,nan,531.36,nan,nan,nan
10,10,8,10,0,1,1.5000,184,0.1669,nan,nan,nan,900.83,0.9109,1.0000,1.0000
11,6,8,6,0,0,1.5000,187,0.1042,nan,nan,nan,477.17,nan,nan,nan
12,8,8,8,0,0,1.5000,192,0.2001,nan,nan,nan,803.29,nan,nan,nan
13,5,8,5,0,0,1.5000,192,0.0000,nan,nan,nan,388.39,nan,nan,nan
14,7,8,7,0,0,1.5000,195,0.1642,nan,nan,nan,556.91,nan,nan,nan
15,4,8,4,0,1,1.5000,195,0.0000,nan,nan,nan,352.89,nan,nan,nan
16,6,8,6,0,0,1.5000,195,0.0000,nan,nan,nan,2499.36,nan,nan,nan
17,7,8,7,0,0,1.5000,197,0.1277,nan,nan,nan,613.76,nan,nan,nan
18,5,8,5,0,0,1.5000,199,0.0806,nan,nan,nan,380.94,nan,nan,nan
19,7,8,7,0,0,1.5000,200,0.0595,nan,nan,nan,560.08,nan,nan,nan
