cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,1.5000,453,0.3083,0.0000,0.0850,0.0557,2050.09
1,16,4,4,12,0,1.5000,454,0.2912,0.0000,0.0852,0.0555,240.83
2,16,4,4,12,0,1.5000,457,0.3021,0.0000,0.0860,0.0567,329.92
3,16,4,4,12,0,1.5000,460,0.1903,0.0000,0.0760,0.0514,396.64
4,16,4,4,12,0,1.5000,464,0.1795,0.0000,0.0788,0.0534,227.02
5,16,4,4,12,0,1.5000,467,0.2677,0.0000,0.0782,0.0537,186.62
6,16,4,4,12,0,1.5000,469,0.5822,0.0001,0.0804,0.0544,465.88
7,16,4,4,12,0,1.5000,471,0.2704,0.0001,0.0806,0.0527,226.00
8,16,4,4,12,0,1.5000,474,0.2370,0.0001,0.0896,0.0579,461.46
9,16,4,4,12,0,1.5000,477,0.2228,0.0001,0.0791,0.0527,237.19
10,16,4,4,12,0,1.5000,480,0.3966,0.0001,0.0783,0.0525,601.09
11,16,4,4,12,0,1.5000,483,0.2227,0.0001,0.0799,0.0525,352.94
12,16,4,4,12,0,1.5000,485,0.2760,0.0001,0.0814,0.0536,329.63
13,16,4,4,12,0,1.5000,488,0.2801,0.0001,0.0774,0.0525,381.04
14,16,4,4,12,0,1.5000,490,0.3520,0.0001,0.0840,0.0552,243.92
15,16,4,4,12,0,1.5000,492,0.2617,0.0001,0.0785,0.0520,279.56
16,16,4,4,12,0,1.5000,493,0.2435,0.0001,0.0787,0.0525,341.65
17,16,4,4,12,0,1.5000,495,0.1898,0.0002,0.0795,0.0519,294.79
18,16,4,4,12,0,1.5000,495,nan,0.0002,0.0795,0.0519,528.00
19,16,4,4,12,0,1.5000,499,0.7323,0.0002,0.1035,0.0596,222.55
