cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,5,3,5,0,0,1.5000,448,0.3924,0.0000,0.0787,0.0520,1117.11
1,9,4,4,5,0,1.5000,450,0.2887,0.0000,0.0822,0.0517,262.63
2,9,4,4,5,0,1.5000,452,0.4097,0.0000,0.0816,0.0536,295.65
3,6,3,3,3,0,1.5000,453,1.5063,0.0000,0.0848,0.0547,303.75
4,7,4,4,3,0,1.5000,456,0.2463,0.0000,0.0859,0.0542,321.00
5,7,4,4,3,0,1.5000,459,0.3550,0.0001,0.0771,0.0530,420.43
6,4,2,2,2,0,1.5000,461,0.3471,0.0001,0.0811,0.0522,318.47
7,10,4,4,6,0,1.5000,463,0.4172,0.0001,0.0788,0.0534,247.75
8,9,4,4,5,0,1.5000,464,0.1610,0.0001,0.0782,0.0530,487.46
9,5,3,3,2,0,1.5000,466,0.2305,0.0001,0.0780,0.0513,223.25
10,5,3,3,2,0,1.5000,466,nan,0.0001,0.0780,0.0513,292.65
11,9,4,4,5,0,1.5000,467,0.2321,0.0001,0.0774,0.0528,288.06
12,9,4,4,5,0,1.5000,469,0.2205,0.0001,0.0791,0.0526,484.89
13,7,4,4,3,0,1.5000,470,0.2610,0.0001,0.0780,0.0532,405.02
14,4,2,2,2,0,1.5000,471,0.1514,0.0001,0.0769,0.0524,347.39
15,4,2,2,2,0,1.5000,472,0.2961,0.0001,0.0769,0.0515,184.70
16,10,4,4,6,0,1.5000,473,0.2317,0.0002,0.0788,0.0514,444.54
17,6,3,3,3,0,1.5000,474,0.2771,0.0002,0.0764,0.0511,123.01
18,5,3,3,2,0,1.5000,475,0.1760,0.0002,0.0796,0.0527,163.44
19,9,4,4,5,0,1.5000,477,0.4784,0.0002,0.0829,0.0551,384.81
