paradigm,setup,seed,jobid,rank,RL_step,comp,ele_comb,reward,value,sg_symbol,sg_number,n_atoms,density_gcc,reduced_formula,in_seed_pool
mg,BASE,7,3006079,1,18,Zr2Ir7Rh,"('Ir', 'Rh', 'Zr')",0.6432711325795265,264.4430303802201,Amm2,38,10,17.343521210959413,Zr2Ir7Rh,False
mg,BASE,7,3006079,2,6,CoPt4Rh,"('Co', 'Pt', 'Rh')",0.623909856831418,257.0857455959388,P4/mmm,123,6,17.601629186115723,CoPt4Rh,False
mg,BASE,7,3006079,3,18,Hf3Mg(CrN2)4,"('Cr', 'Hf', 'Mg', 'N')",0.5944123961438853,245.87671053467642,Pm,6,16,8.913677107348946,Hf3Mg(CrN2)4,False
mg,ACC,7,3006080,1,19,FeRe9Os2,"('Fe', 'Os', 'Re')",0.8401424999598929,339.2541499847593,Imm2,44,12,19.898293616783874,FeRe9Os2,False
mg,ACC,7,3006080,2,1,Pt4RhW,"('Pt', 'Rh', 'W')",0.6563349414015577,269.4072777325919,P-1,2,12,19.111490980895763,Pt4RhW,False
mg,ACC,7,3006080,3,10,IrPt7Rh2,"('Ir', 'Pt', 'Rh')",0.635648705625109,261.5465081375414,Cm,8,10,19.099569667807216,IrPt7Rh2,False
cf,BASE,7,3006081,1,4,Li4V3NiO8,"('Li', 'Ni', 'O', 'V')",0.4146128103535376,177.55286793434428,P1,1,16,4.167104165549863,Li4V3NiO8,False
cf,BASE,7,3006081,2,10,LiLa2ReO6,"('La', 'Li', 'O', 'Re')",0.3997171194225569,171.8925053805716,P1,1,10,7.486545324473185,LiLa2ReO6,False
cf,BASE,7,3006081,3,8,Nb7V,"('Nb', 'V')",0.3968492477538848,170.80271414647623,P2/m,10,8,8.184478357275317,Nb7V,False
cf,ACC,7,3006082,1,11,MnCoB,"('B', 'Co', 'Mn')",0.5388269991284838,224.75425966882383,C2/m,12,6,7.525127523772548,MnCoB,False
cf,ACC,7,3006082,2,9,NaSm3V2Cr2O12,"('Cr', 'Na', 'O', 'Sm', 'V')",0.4409205808098564,187.54982070774543,P1,1,20,6.258250697587241,NaSm3V2Cr2O12,False
