cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,300.0000,516,63.7008,0.0097,24.6930,14.6926,452.81
1,16,4,4,12,0,300.0000,520,136.6976,0.0096,25.1048,15.2437,105.75
2,16,4,4,12,0,300.0000,524,139.9659,0.0096,24.0079,14.4548,104.96
3,16,4,4,12,0,300.0000,528,93.7356,0.0096,22.9995,14.1525,100.59
4,16,4,4,12,0,300.0000,532,104.9944,0.0096,23.4292,14.2638,130.32
5,16,4,4,12,0,300.0000,536,104.7758,0.0096,24.5605,15.0649,114.97
6,16,4,4,12,0,300.0000,540,134.9584,0.0095,23.8939,14.5067,132.07
7,16,4,4,12,0,300.0000,544,115.0670,0.0095,22.6362,14.2224,106.52
8,16,4,4,12,0,300.0000,548,130.2294,0.0095,22.4692,14.3783,110.07
9,15,4,4,11,0,300.0000,552,138.7319,0.0095,24.1214,14.3709,112.92
10,16,4,4,12,0,300.0000,556,132.7682,0.0094,23.0023,14.1300,138.92
11,16,4,4,12,0,300.0000,560,114.6646,0.0094,23.2192,14.4100,143.27
12,16,4,4,12,0,300.0000,564,90.0077,0.0094,24.2654,14.2118,129.88
13,16,4,4,12,0,300.0000,568,109.6608,0.0093,25.2664,14.6020,127.80
14,16,4,4,12,0,300.0000,572,103.7564,0.0094,23.9794,14.5520,152.03
15,16,4,4,12,0,300.0000,576,103.1837,0.0093,20.4463,13.2478,132.88
16,16,4,4,12,0,300.0000,580,158.4980,0.0092,23.3370,13.3466,130.73
17,16,4,4,12,0,300.0000,584,125.5383,0.0092,21.1903,13.4184,142.48
18,16,4,4,12,0,300.0000,588,173.7552,0.0092,22.8080,14.0074,135.85
19,16,4,4,12,0,300.0000,592,81.0877,0.0092,21.3891,13.5378,184.11
