cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,10,8,10,0,0,1.5000,449,0.3444,0.0000,0.0850,0.0553,1439.42
1,11,8,8,3,0,1.5000,452,0.3224,0.0000,0.0851,0.0548,401.15
2,14,8,8,6,0,1.5000,455,0.2365,0.0000,0.0810,0.0531,709.79
3,11,8,8,3,0,1.5000,460,0.2895,0.0000,0.0797,0.0530,671.09
4,12,8,8,4,0,1.5000,465,0.3799,0.0000,0.0803,0.0538,904.40
5,8,8,8,0,1,1.5000,468,0.3576,0.0000,0.0838,0.0541,661.19
6,11,8,8,3,0,1.5000,470,0.5312,0.0001,0.0831,0.0525,660.34
7,8,8,8,0,0,1.5000,471,0.3347,0.0001,0.0840,0.0534,699.46
8,11,8,8,3,0,1.5000,473,0.4319,0.0001,0.0784,0.0538,720.82
9,12,8,8,4,0,1.5000,481,0.3136,0.0001,0.0794,0.0526,714.97
10,13,8,13,0,1,1.5000,485,0.3762,0.0001,0.0847,0.0546,1317.35
11,6,8,6,0,0,1.5000,485,nan,0.0001,0.0847,0.0546,436.04
12,10,8,8,2,0,1.5000,489,0.2640,0.0001,0.0794,0.0519,742.15
13,12,8,8,4,0,1.5000,492,0.3054,0.0001,0.0857,0.0548,1018.03
14,10,8,8,2,0,1.5000,496,0.3582,0.0001,0.0774,0.0513,792.83
15,7,8,7,0,1,1.5000,496,nan,0.0001,0.0774,0.0513,760.12
16,9,8,8,1,0,1.5000,497,0.3070,0.0001,0.0794,0.0516,1050.26
17,6,8,6,0,0,1.5000,499,0.4195,0.0001,0.0812,0.0517,853.54
18,7,8,7,0,0,1.5000,499,nan,0.0002,0.0812,0.0517,695.28
19,15,8,8,7,0,1.5000,503,0.4725,0.0002,0.0793,0.0516,1265.51
