cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,14,8,14,0,0,1.5000,7,0.1349,nan,nan,nan,1178.60,nan,nan,nan
1,16,8,16,0,0,1.5000,20,0.2227,nan,nan,nan,1281.25,nan,nan,nan
2,16,8,8,8,0,1.5000,24,0.2930,0.0000,0.0000,0.0000,1012.70,nan,nan,nan
3,16,8,8,8,0,1.5000,28,0.2896,0.0000,0.0000,0.0000,633.24,nan,nan,nan
4,16,8,8,8,0,1.5000,34,0.3402,0.0000,0.0000,0.0000,972.37,nan,nan,nan
5,16,8,16,0,1,1.5000,46,0.2167,nan,nan,nan,1002.09,0.8468,1.0000,1.0000
6,16,8,8,8,0,1.5000,51,0.2558,0.0000,0.0000,0.0000,701.67,nan,nan,nan
