model,descriptor,pca,avg_R2,avg_Spearman
gp,mace,10,0.5849666247015818,0.7441468593608258
gp,mace,25,0.6040388432964316,0.7651987577589768
gp,mace,50,0.6067990989091093,0.7620768127997226
gp,orb,10,0.6098449383271796,0.7634897893928414
gp,orb,25,0.6526238722836187,0.786881464629444
gp,orb,50,0.6728591780114195,0.810605204268224
gp,soap,10,0.1308354418013662,0.4072955794435265
gp,soap,25,0.13071063877934963,0.44768812651088424
gp,soap,50,0.28111653606684367,0.558426399798607
gp,uma,10,0.28503851400965574,0.5347075122588985
gp,uma,25,0.5418818804413454,0.7146967093600893
gp,uma,50,0.5462420970870328,0.717575921894323
mtgp_2,mace,10,0.3805870264562702,0.6581490541912934
mtgp_2,mace,25,0.5375052343767304,0.7544458296870947
mtgp_2,mace,50,0.43901523220993305,0.7038339138541466
mtgp_2,orb,10,0.42222909828345917,0.6745789845037582
mtgp_2,orb,25,0.5944153993017547,0.7775220002917643
mtgp_2,orb,50,0.5934114802562366,0.7745643487191296
mtgp_2,soap,10,0.018788251743126913,0.25449200516516884
mtgp_2,soap,25,0.010040778155064425,0.2672893174685155
mtgp_2,soap,50,0.2250893779432073,0.5080321743821169
mtgp_2,uma,10,0.0717308620030233,0.312260197805592
mtgp_2,uma,25,0.40315334820338866,0.6312529841092713
mtgp_2,uma,50,0.45775945127304735,0.6872707074388
dgp,mace,10,0.5893906271809931,0.7528158857791243
dgp,mace,25,0.6123489959001189,0.7747653581743079
dgp,mace,50,-0.028456836238403966,-0.010490307983951425
dgp,orb,10,0.6054836136903454,0.7797809200847031
dgp,orb,25,0.5120405955768759,0.6448546820171184
dgp,orb,50,-0.003381818565393513,0.004240164672251925
dgp,soap,10,0.13904982030843335,0.4393950027105942
dgp,soap,25,0.19491655569804173,0.5283562229347886
dgp,soap,50,0.045911127668952195,0.1365668243592305
dgp,uma,10,0.2568769415804236,0.5389559838183668
dgp,uma,25,0.5847216604957264,0.7381729597719281
dgp,uma,50,0.21303682149803618,0.2795214115004074
