heat_capacity mean,heat_capacity std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
0.2532020438431526,0.1271390032915128,0.02894367063531895,0.0578873412706379,0.18920630726688847,0.9397566820368884,0.24,0.42,1.0,1.0,1.0,1.0,0.82,0.28,0.82,1.0,1.0,0.18,2.8368894925159308e-05,5,5,,1.0,12,0
1.5158126751784589,0.0,0.723321528673405,0.0,0.26202404665357526,0.9478131114532158,0.14,0.28,1.0,1.0,1.0,1.0,0.82,0.18,0.82,1.0,1.0,0.18,1.1820372885483045e-05,6,6,,1.0,19,1
0.1876016628483514,0.009123574119382208,0.0,0.0,0.2953168299620203,1.0511919456045664,0.10416666666666667,0.2708333333333333,1.0,1.0,1.0,1.0,0.8125,0.3541666666666667,0.8125,1.0,1.0,0.1875,3.073296950225592e-05,8,8,,1.0,24,2
0.31562898206013656,0.09341322760544572,0.04977286291645672,0.03642385355043993,0.19321385306763325,1.0452907354202943,0.21568627450980393,0.27450980392156865,1.0,1.0,1.0,1.0,0.9019607843137255,0.27450980392156865,0.9019607843137255,1.0,1.0,0.09803921568627451,1.0638335596934742e-05,11,11,,1.0,35,3
0.23137015769766514,0.0,0.0,0.0,0.296639406866622,0.9828556957407107,0.09803921568627451,0.2549019607843137,1.0,1.0,1.0,1.0,0.8235294117647058,0.17647058823529413,0.8235294117647058,1.0,1.0,0.17647058823529413,3.3097044079352525e-05,12,12,,1.0,40,4
0.300779617395267,0.07962200699570787,0.04067992122183097,0.02914007156534827,0.21970239978340134,0.8978226667453733,0.14583333333333334,0.2916666666666667,1.0,1.0,1.0,1.0,0.8125,0.1875,0.8125,1.0,1.0,0.1875,2.2458708482417787e-05,15,15,,1.0,47,5
0.21459033065603522,0.0,0.0,0.0,0.2606331202992872,0.9258180173660874,0.11904761904761904,0.2619047619047619,1.0,1.0,1.0,1.0,0.8571428571428571,0.30952380952380953,0.8571428571428571,1.0,1.0,0.14285714285714285,1.0638335596934742e-05,16,16,,1.0,52,6
0.3126069350404497,0.11687462548240515,0.051280445863672815,0.051280445863672815,0.2349669686639827,0.9159086368219364,0.10204081632653061,0.30612244897959184,1.0,1.0,1.0,1.0,0.7959183673469388,0.2857142857142857,0.7959183673469388,1.0,1.0,0.20408163265306123,4.137130509919066e-05,18,18,,1.0,57,7
,,,,0.19969554761387404,1.0165355389131545,0.09433962264150944,0.32075471698113206,1.0,1.0,1.0,1.0,0.7735849056603774,0.24528301886792453,0.7735849056603774,1.0,1.0,0.22641509433962265,2.364074577096609e-05,18,18,,1.0,62,8
,,,,0.45616977452048846,0.9232662381383762,0.13333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,0.2,0.8,1.0,1.0,0.2,4.964556611902879e-05,18,18,,1.0,68,9
0.26454932894550226,0.041101419323563745,0.01590021379116172,0.01590021379116172,0.19360085808008032,0.9509785065503861,0.15555555555555556,0.3111111111111111,1.0,1.0,1.0,1.0,0.8222222222222222,0.2,0.8222222222222222,1.0,1.0,0.17777777777777778,3.427908136790083e-05,20,20,,1.0,75,10
0.3575773744782765,0.15445867655861542,0.07486744315339768,0.07486744315339768,0.2309145950576666,1.0383060495170007,0.10204081632653061,0.20408163265306123,1.0,1.0,1.0,1.0,0.8775510204081632,0.22448979591836735,0.8775510204081632,1.0,1.0,0.12244897959183673,1.1820372885483045e-05,22,22,,1.0,80,11
0.27307344318032645,0.0005884708789740678,0.013184824674472255,0.0003362690736994668,0.30932740217095633,0.9454055478666237,0.24444444444444444,0.4444444444444444,1.0,1.0,1.0,1.0,0.8,0.15555555555555556,0.8,1.0,1.0,0.2,2.0094633905321177e-05,24,24,,1.0,91,12
0.20678565131088927,0.02787103099800768,0.0,0.0,0.19487123155533084,0.9251350025582481,0.14,0.22,1.0,1.0,1.0,1.0,0.88,0.32,0.88,1.0,1.0,0.12,1.300241017403135e-05,26,26,,1.0,98,13
,,,,0.33353752709882384,0.8919474170288745,0.09090909090909091,0.2727272727272727,1.0,1.0,1.0,1.0,0.8181818181818182,0.29545454545454547,0.8181818181818182,1.0,1.0,0.18181818181818182,2.9550932213707615e-05,26,26,,1.0,102,14
0.2325945784273041,0.09247119193869505,0.021447362961714043,0.021447362961714043,0.33460371187821825,1.0105085719973241,0.11538461538461539,0.23076923076923078,1.0,1.0,1.0,1.0,0.8846153846153846,0.21153846153846154,0.8846153846153846,1.0,1.0,0.11538461538461539,1.300241017403135e-05,28,28,,1.0,108,15
,,,,0.19206694631124963,0.932964884306559,0.0851063829787234,0.19148936170212766,1.0,1.0,1.0,1.0,0.8723404255319149,0.2127659574468085,0.8723404255319149,1.0,1.0,0.1276595744680851,1.536648475112796e-05,28,28,,1.0,112,16
0.6295296485023314,0.3415731368199686,0.2168740848584751,0.19518464961141063,0.21214729453463593,0.9411231867395664,0.075,0.375,1.0,1.0,1.0,1.0,0.6,0.175,0.6,1.0,1.0,0.4,4.609945425338388e-05,30,30,,1.0,115,17
0.36961896072490535,0.0,0.06835369184280306,0.0,0.25100549427312135,0.8873804884837398,0.125,0.3333333333333333,1.0,1.0,1.0,1.0,0.75,0.14583333333333334,0.75,1.0,1.0,0.25,3.900723052209405e-05,31,31,,1.0,121,18
0.3945068716186521,0.1785255098171547,0.09229496612451624,0.09229496612451624,0.24978070251740403,1.0244067285886231,0.07407407407407407,0.2777777777777778,1.0,1.0,1.0,1.0,0.7962962962962963,0.2222222222222222,0.7962962962962963,1.0,1.0,0.2037037037037037,4.373537967628727e-05,33,33,,1.0,125,19
