cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,1.5000,457,0.2869,0.0000,0.0892,0.0566,1185.40
1,16,4,4,12,0,1.5000,461,0.2795,0.0000,0.0877,0.0568,283.17
2,16,4,4,12,0,1.5000,463,0.5446,0.0000,0.0912,0.0584,394.74
3,16,4,4,12,0,1.5000,466,0.2768,0.0000,0.0913,0.0572,467.43
4,16,4,4,12,0,1.5000,467,0.3244,0.0000,0.0932,0.0596,308.97
5,16,4,4,12,0,1.5000,470,0.2360,0.0000,0.0936,0.0603,383.06
6,16,4,4,12,0,1.5000,472,0.2280,0.0000,0.0901,0.0604,317.01
7,16,4,4,12,0,1.5000,474,0.2427,0.0000,0.0891,0.0569,279.86
8,16,4,4,12,0,1.5000,478,0.3195,0.0001,0.0859,0.0565,287.61
9,16,4,4,12,0,1.5000,481,0.1835,0.0001,0.0929,0.0596,789.02
10,16,4,4,12,0,1.5000,484,0.3151,0.0001,0.0931,0.0593,316.86
11,16,4,4,12,0,1.5000,487,0.4049,0.0001,0.0877,0.0576,358.76
12,16,4,4,12,0,1.5000,489,0.2512,0.0001,0.0945,0.0608,391.48
13,16,4,4,12,0,1.5000,491,0.1994,0.0001,0.0876,0.0577,265.97
14,16,4,4,12,0,1.5000,493,0.2711,0.0001,0.0875,0.0577,352.47
15,16,4,4,12,0,1.5000,494,0.2079,0.0001,0.0881,0.0586,495.17
16,16,4,4,12,0,1.5000,497,0.5494,0.0001,0.0857,0.0561,305.00
17,16,4,4,12,0,1.5000,501,0.3204,0.0001,0.0838,0.0557,764.21
18,16,4,4,12,0,1.5000,504,0.2236,0.0001,0.0855,0.0564,525.67
19,16,4,4,12,0,1.5000,505,0.1581,0.0002,0.0873,0.0565,474.22
