bulk_modulus mean,bulk_modulus std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
57.33342830961696,32.1189147758608,0.09875335895548773,0.08392229385920835,0.1913333713442996,0.8457387636381913,0.09803921568627451,0.37254901960784315,1.0,1.0,1.0,1.0,0.7058823529411765,0.3137254901960784,0.7058823529411765,1.0,1.0,0.29411764705882354,4.4917416964835574e-05,5,5,,1.0,5,0
84.47403285191035,37.466355245484024,0.16966850750502727,0.09859567169864217,0.2007969495459991,0.8921393726283687,0.20754716981132076,0.3018867924528302,1.0,1.0,1.0,1.0,0.8867924528301887,0.2830188679245283,0.8867924528301887,1.0,1.0,0.11320754716981132,1.4184447462579654e-05,9,9,,1.0,16,1
112.528428909753,107.90190262025315,0.25281006054787575,0.27506225542749274,0.25744581073833395,0.9944127247722472,0.20833333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,0.875,0.2916666666666667,0.875,1.0,1.0,0.125,1.8912596616772873e-05,13,13,,1.0,26,2
103.34691396292999,51.615769155899535,0.21933398411297367,0.13583097146289352,0.26625330846220135,0.9893573785754604,0.1702127659574468,0.23404255319148937,1.0,1.0,1.0,1.0,0.9361702127659575,0.2765957446808511,0.9361702127659575,1.0,1.0,0.06382978723404255,7.092223731289827e-06,17,17,,1.0,34,3
79.65808267054771,55.71240430924276,0.1569949543961782,0.14661159028748091,0.18707659958662234,0.8941134548576528,0.13953488372093023,0.2558139534883721,1.0,1.0,1.0,1.0,0.8837209302325582,0.16279069767441862,0.8837209302325582,1.0,1.0,0.11627906976744186,1.8912596616772873e-05,20,20,,1.0,40,4
106.92119963958625,27.171267984384443,0.2287399990515428,0.07150333680101172,0.2265119377754025,1.0165753860729887,0.16326530612244897,0.2653061224489796,1.0,1.0,1.0,1.0,0.8775510204081632,0.40816326530612246,0.8775510204081632,1.0,1.0,0.12244897959183673,1.6548522039676263e-05,24,24,,1.0,48,5
80.96958980899942,54.56791564006069,0.16938082318138467,0.1317373941538666,0.18340775731080525,0.9815953302234798,0.16326530612244897,0.3877551020408163,1.0,1.0,1.0,1.0,0.7755102040816326,0.08163265306122448,0.7755102040816326,1.0,1.0,0.22448979591836735,4.018926781064235e-05,28,28,,1.0,56,6
87.97898191157789,28.199355050793617,0.17889205766204708,0.07420882908103583,0.19155191695714555,0.9082597745347403,0.0851063829787234,0.2553191489361702,1.0,1.0,1.0,1.0,0.7872340425531915,0.19148936170212766,0.7872340425531915,1.0,1.0,0.2127659574468085,1.773055932822457e-05,30,30,,1.0,60,7
86.53770843079077,8.615764221824032,0.1750992327126073,0.02267306374164219,0.32855356131954944,1.0347016113963796,0.11363636363636363,0.2727272727272727,1.0,1.0,1.0,1.0,0.8181818181818182,0.3181818181818182,0.8181818181818182,1.0,1.0,0.18181818181818182,1.4184447462579654e-05,33,33,,1.0,65,8
78.89141378726208,27.164755096901164,0.15497740470332125,0.07148619762342412,0.25086213272928887,0.9712957376941681,0.16,0.3,1.0,1.0,1.0,1.0,0.78,0.14,0.78,1.0,1.0,0.22,2.364074577096609e-05,37,37,,1.0,73,9
112.59010500270429,63.13591758261855,0.24365817105974813,0.16614715153320675,0.2029577124549732,0.9846827142693596,0.14583333333333334,0.25,1.0,1.0,1.0,1.0,0.875,0.125,0.875,1.0,1.0,0.125,2.0094633905321177e-05,41,41,,1.0,80,10
71.74240311268689,20.03649874176583,0.13616421871759707,0.05272762826780482,0.1809837274302025,0.8453389877953219,0.16326530612244897,0.32653061224489793,1.0,1.0,1.0,1.0,0.8163265306122449,0.12244897959183673,0.8163265306122449,1.0,1.0,0.1836734693877551,3.073296950225592e-05,44,44,,1.0,88,11
63.99655732360688,20.942614806394,0.1157804140094918,0.05511214422735263,0.22535015599583266,1.1046958215483182,0.1875,0.25,1.0,1.0,1.0,1.0,0.8958333333333334,0.2916666666666667,0.8958333333333334,1.0,1.0,0.10416666666666667,7.092223731289827e-06,48,48,,1.0,97,12
198.17390289475648,0.0,0.46887869182830655,0.0,0.23276561331204534,0.8063302061865117,0.02040816326530612,0.24489795918367346,1.0,1.0,1.0,1.0,0.7551020408163265,0.22448979591836735,0.7551020408163265,1.0,1.0,0.24489795918367346,2.9550932213707615e-05,49,49,,1.0,98,13
44.7272206928441,16.839262994875238,0.06507163340222132,0.0443138499865138,0.2471594734725041,0.9810135427465172,0.16981132075471697,0.32075471698113206,1.0,1.0,1.0,1.0,0.8301886792452831,0.18867924528301888,0.8301886792452831,1.0,1.0,0.16981132075471697,1.8912596616772873e-05,53,53,,1.0,107,14
56.339700779204165,19.09944883990711,0.09563079152422149,0.050261707473439755,0.22441037457105228,1.0361263102091642,0.18867924528301888,0.2830188679245283,1.0,1.0,1.0,1.0,0.8867924528301887,0.24528301886792453,0.8867924528301887,1.0,1.0,0.11320754716981132,8.274261019838131e-06,57,57,,1.0,117,15
75.27179259991719,0.0,0.14545208578925575,0.0,0.32700967967509187,0.9251857866433024,0.0392156862745098,0.1568627450980392,1.0,1.0,1.0,1.0,0.8431372549019608,0.2549019607843137,0.8431372549019608,1.0,1.0,0.1568627450980392,2.1276671193869483e-05,58,58,,1.0,119,16
60.57772986143208,20.199174002951573,0.10678349963534758,0.053155721060398876,0.23059837135684647,0.945025985193767,0.058823529411764705,0.21568627450980393,1.0,1.0,1.0,1.0,0.8431372549019608,0.27450980392156865,0.8431372549019608,1.0,1.0,0.1568627450980392,2.2458708482417787e-05,60,60,,1.0,122,17
89.74716678363137,50.915961048393704,0.1835451757463983,0.13398937117998344,0.3249264192930363,0.8680701630977881,0.1,0.2,1.0,1.0,1.0,1.0,0.88,0.16,0.88,1.0,1.0,0.12,1.536648475112796e-05,63,63,,1.0,127,18
54.852792165119936,4.1172872866220125,0.09171787411873666,0.010834966543742136,0.2109995293202766,0.9531324556411565,0.05555555555555555,0.25925925925925924,1.0,1.0,1.0,1.0,0.7777777777777778,0.24074074074074073,0.7777777777777778,1.0,1.0,0.2222222222222222,3.427908136790083e-05,65,65,,1.0,130,19
