cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,9,4,9,0,0,300.0000,509,104.7032,0.0099,25.3283,15.6627,1642.81
1,7,4,4,3,0,300.0000,513,134.4326,0.0098,23.4881,14.7734,163.50
2,7,4,4,3,0,300.0000,517,112.3662,0.0097,25.4593,15.2312,143.42
3,14,4,4,10,0,300.0000,521,136.1246,0.0097,25.8386,15.6467,172.82
4,11,4,4,7,0,300.0000,525,92.0160,0.0097,23.7256,14.9754,123.70
5,7,4,4,3,0,300.0000,529,137.1530,0.0096,24.6112,14.9702,144.28
6,12,4,4,8,0,300.0000,533,68.8204,0.0096,25.3190,15.6425,90.85
7,10,4,4,6,0,300.0000,537,67.2522,0.0095,23.9883,14.9885,102.70
8,9,4,4,5,0,300.0000,541,104.4339,0.0095,23.7726,14.7674,136.41
9,12,4,4,8,0,300.0000,545,133.0334,0.0095,23.3964,14.4499,180.05
10,8,4,4,4,0,300.0000,549,104.2187,0.0096,22.4477,13.9535,105.43
11,14,4,4,10,0,300.0000,553,135.8009,0.0094,22.7661,13.6367,87.01
12,8,4,4,4,0,300.0000,557,91.9572,0.0093,22.3457,13.5341,151.97
13,12,4,4,8,0,300.0000,561,95.8279,0.0093,23.6482,14.2454,110.07
14,7,4,4,3,0,300.0000,565,91.4059,0.0094,24.2671,14.7566,110.62
15,10,4,4,6,0,300.0000,569,90.0112,0.0094,22.2290,14.0117,165.58
16,12,4,4,8,0,300.0000,573,152.4652,0.0091,23.6233,14.4344,120.98
17,8,4,4,4,0,300.0000,577,97.3408,0.0090,23.1188,14.6722,143.81
18,14,4,4,10,0,300.0000,581,124.9773,0.0090,23.5672,14.2123,117.31
19,8,4,4,4,0,300.0000,585,123.6551,0.0090,22.3344,13.9152,128.65
