heat_capacity mean,heat_capacity std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
0.31457432264596685,0.12341614979561015,0.050995048115877184,0.05458959418927558,0.21573418078692583,1.0248966410745028,0.1836734693877551,0.30612244897959184,1.0,1.0,1.0,1.0,0.8571428571428571,0.3469387755102041,0.8571428571428571,1.0,1.0,0.14285714285714285,1.0638335596934742e-05,5,5,,1.0,9,0
0.3153742779691669,0.05169641518197737,0.03735673026809537,0.029540808675415642,0.22072742096118322,0.9235709428813229,0.14583333333333334,0.3541666666666667,1.0,1.0,1.0,1.0,0.7916666666666666,0.375,0.7916666666666666,1.0,0.9791666666666666,0.20833333333333334,2.2458708482417787e-05,7,7,,1.0,16,1
0.2995075459391101,0.0,0.028290026250920062,0.0,0.2127996172883996,0.9923065622191973,0.0425531914893617,0.19148936170212766,1.0,1.0,1.0,1.0,0.8297872340425532,0.23404255319148937,0.8297872340425532,1.0,1.0,0.1702127659574468,2.60048203480627e-05,8,8,,1.0,18,2
0.15366883862062117,0.0,0.0,0.0,0.4847120645885188,0.8619609704517153,0.08,0.26,1.0,1.0,1.0,1.0,0.78,0.18,0.78,1.0,1.0,0.22,4.8463528830480485e-05,9,9,,1.0,22,3
0.22956868474597014,0.014684718816640366,0.0,0.0,0.2779549074243875,0.8344421074670327,0.125,0.25,1.0,1.0,1.0,1.0,0.875,0.3333333333333333,0.875,1.0,1.0,0.125,1.300241017403135e-05,11,11,,1.0,28,4
,,,,0.23631046336377284,1.0151362437396094,0.18,0.32,1.0,1.0,1.0,1.0,0.84,0.16,0.84,1.0,1.0,0.16,1.536648475112796e-05,11,11,,1.0,37,5
,,,,0.30856302802248875,0.9607902641778392,0.08888888888888889,0.28888888888888886,1.0,1.0,1.0,1.0,0.7777777777777778,0.17777777777777778,0.7777777777777778,1.0,1.0,0.2222222222222222,2.9550932213707615e-05,11,11,,1.0,41,6
0.4809960854448449,0.0,0.13199776311133996,0.0,0.21624050932638172,0.9467997528426516,0.061224489795918366,0.2653061224489796,1.0,1.0,1.0,1.0,0.7959183673469388,0.1836734693877551,0.7959183673469388,1.0,1.0,0.20408163265306123,3.191500679080422e-05,12,12,,1.0,44,7
0.22173782581370127,0.03954889361263664,0.0032247769789536885,0.0032247769789536885,0.2678737936203861,0.9991560738096914,0.19148936170212766,0.2978723404255319,1.0,1.0,1.0,1.0,0.8723404255319149,0.23404255319148937,0.8723404255319149,1.0,1.0,0.1276595744680851,3.191500679080422e-05,14,14,,1.0,53,8
0.2622110462410631,0.002620086415419276,0.0069777407091789236,0.0014971922373824432,0.17072481643240983,0.9482364288165139,0.19148936170212766,0.40425531914893614,1.0,1.0,1.0,1.0,0.7446808510638298,0.3404255319148936,0.7446808510638298,1.0,1.0,0.2553191489361702,9.101687121821944e-05,16,16,,1.0,62,9
0.2833468833067755,0.1471686363656417,0.05157586276354777,0.05157586276354777,0.30106750836066626,0.9914351097739358,0.16,0.28,1.0,1.0,1.0,1.0,0.82,0.24,0.82,1.0,1.0,0.18,2.364074577096609e-05,18,18,,1.0,70,10
0.1360916568390307,0.0,0.0,0.0,0.22190149189992422,0.9391564455981402,0.11627906976744186,0.3023255813953488,1.0,1.0,1.0,1.0,0.6976744186046512,0.3023255813953488,0.6976744186046512,1.0,1.0,0.3023255813953488,3.3097044079352525e-05,19,19,,1.0,75,11
0.412744562067698,0.0,0.09299689261011314,0.0,0.22027545386261443,1.0027736497126603,0.16279069767441862,0.3488372093023256,1.0,1.0,1.0,1.0,0.813953488372093,0.2558139534883721,0.813953488372093,1.0,1.0,0.18604651162790697,1.8912596616772873e-05,20,20,,1.0,82,12
0.29678857339964776,0.06288204281088194,0.03133446177443706,0.03133446177443706,0.24049096471024153,0.9099109604831604,0.16326530612244897,0.30612244897959184,1.0,1.0,1.0,1.0,0.8367346938775511,0.2857142857142857,0.8367346938775511,1.0,1.0,0.16326530612244897,2.4822783059514394e-05,22,22,,1.0,90,13
0.25684450470608494,0.0,0.0039111455463342526,0.0,0.21628800866736833,0.9647552410604245,0.12244897959183673,0.2857142857142857,1.0,1.0,1.0,1.0,0.8163265306122449,0.20408163265306123,0.8163265306122449,1.0,1.0,0.1836734693877551,1.536648475112796e-05,23,23,,1.0,96,14
0.22476146803435657,0.0,0.0,0.0,0.22852120018580546,0.9238872689061198,0.08333333333333333,0.22916666666666666,1.0,1.0,1.0,1.0,0.8125,0.2916666666666667,0.8125,1.0,1.0,0.1875,1.773055932822457e-05,24,24,,1.0,100,15
0.5582927684812776,0.1680319614164485,0.1761672962750158,0.096018263666542,0.31096820416536586,1.024682589022674,0.15217391304347827,0.30434782608695654,1.0,1.0,1.0,1.0,0.8478260869565217,0.2826086956521739,0.8478260869565217,1.0,1.0,0.15217391304347827,1.6548522039676263e-05,26,26,,1.0,107,16
0.6022464998098402,0.0,0.20128371417705157,0.0,0.22828888620424329,0.8871830017753292,0.0784313725490196,0.27450980392156865,1.0,1.0,1.0,1.0,0.803921568627451,0.27450980392156865,0.803921568627451,1.0,1.0,0.19607843137254902,2.60048203480627e-05,27,27,,1.0,111,17
0.3009465583137483,0.0702124420592368,0.0346168572494243,0.0346168572494243,0.32879640938832017,1.0512467821002047,0.20833333333333334,0.3125,1.0,1.0,1.0,1.0,0.8958333333333334,0.20833333333333334,0.8958333333333334,1.0,0.9791666666666666,0.10416666666666667,9.456298308386437e-06,29,29,,1.0,121,18
0.23072976968469078,0.056480638087512455,0.010631545077772355,0.010631545077772355,0.2594798456423835,0.903092319884262,0.1836734693877551,0.32653061224489793,1.0,1.0,1.0,1.0,0.8571428571428571,0.22448979591836735,0.8571428571428571,1.0,1.0,0.14285714285714285,2.1276671193869483e-05,31,31,,1.0,130,19
