cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,8,16,0,0,1.5000,452,0.2338,0.0000,0.0819,0.0521,1875.55
1,16,8,8,8,0,1.5000,459,0.2397,0.0000,0.0799,0.0518,537.55
2,16,8,8,8,0,1.5000,464,0.2076,0.0000,0.0811,0.0508,527.60
3,16,8,8,8,0,1.5000,469,0.2896,0.0000,0.0838,0.0536,397.69
4,16,8,8,8,0,1.5000,472,0.2921,0.0001,0.0788,0.0518,708.08
5,16,8,16,0,1,1.5000,480,0.2938,0.0001,0.0828,0.0542,951.79
6,16,8,8,8,0,1.5000,483,0.2193,0.0001,0.0785,0.0493,456.46
7,16,8,8,8,0,1.5000,489,0.2709,0.0001,0.0792,0.0511,475.51
8,16,8,8,8,0,1.5000,493,0.3275,0.0001,0.0829,0.0532,609.80
9,16,8,8,8,0,1.5000,497,0.2791,0.0001,0.0762,0.0499,457.24
10,16,8,16,0,1,1.5000,506,0.2447,0.0001,0.0799,0.0497,718.79
11,16,8,8,8,0,1.5000,509,0.2486,0.0001,0.0801,0.0503,552.86
12,16,8,8,8,0,1.5000,513,0.2315,0.0001,0.0777,0.0492,414.79
13,16,8,8,8,0,1.5000,517,0.2060,0.0001,0.0798,0.0509,503.04
14,16,8,8,8,0,1.5000,523,0.2099,0.0001,0.0780,0.0493,360.97
15,16,8,16,0,1,1.5000,530,0.2428,0.0002,0.0746,0.0495,983.03
16,16,8,8,8,0,1.5000,533,0.2047,0.0002,0.0754,0.0496,599.72
17,16,8,8,8,0,1.5000,536,0.5194,0.0002,0.0781,0.0512,605.11
18,16,8,8,8,0,1.5000,537,0.5682,0.0002,0.0767,0.0508,552.06
19,15,8,8,7,0,1.5000,541,0.2567,0.0002,0.0705,0.0476,474.75
