model,descriptor,pca_components,n_train,property,metric,mean,std,config,cv,relative_std
dgp,mace,25,250,band_gap,R2,0.4956867923319481,0.2505210161208557,dgp_mace_pca25_n250,0.5054018384114792,50.540183830951925
dgp,mace,25,250,band_gap,RMSE,1.0994514624689269,0.2456286551094408,dgp_mace_pca25_n250,0.2234101854372519,22.341018541693177
dgp,mace,25,250,band_gap,Spearman,0.5813226880387715,0.279098208804615,dgp_mace_pca25_n250,0.4801089215117653,48.010892142917626
dgp,mace,25,250,n,R2,0.3228818892741756,0.1650490336215737,dgp_mace_pca25_n250,0.5111746403385978,51.11746401802816
dgp,mace,25,250,n,RMSE,0.9408065903517538,0.1071187028004507,dgp_mace_pca25_n250,0.1138583678079897,11.38583677958875
dgp,mace,25,250,n,Spearman,0.662625228529375,0.3297259115096636,dgp_mace_pca25_n250,0.4976054296052908,49.760542953019474
dgp,mace,25,250,poly_electronic,R2,0.1109847378528027,0.0575238698652955,dgp_mace_pca25_n250,0.5183043270470981,51.83043265800931
dgp,mace,25,250,poly_electronic,RMSE,13.107986171460295,0.4159270377525051,dgp_mace_pca25_n250,0.0317308114543249,3.173081145408286
dgp,mace,25,250,poly_electronic,Spearman,0.6658055610495828,0.3057456898068858,dgp_mace_pca25_n250,0.4592116793451006,45.92116792761298
dgp,mace,25,250,poly_total,R2,0.0849849299284855,0.0434326932691218,dgp_mace_pca25_n250,0.5110634709667967,51.106347036543895
dgp,mace,25,250,poly_total,RMSE,20.084300171384346,0.4692217232678562,dgp_mace_pca25_n250,0.0233626125512898,2.33626125511735
dgp,mace,25,250,poly_total,Spearman,0.4517750852998164,0.2193472626352569,dgp_mace_pca25_n250,0.4855231502854769,48.55231501780067
dgp,soap,25,250,band_gap,R2,0.334196762488292,0.0290865723432577,dgp_soap_pca25_n250,0.0870342732427777,8.703427321673491
dgp,soap,25,250,band_gap,RMSE,1.2941189835100495,0.0279277942935791,dgp_soap_pca25_n250,0.0215805460312701,2.158054602960252
dgp,soap,25,250,band_gap,Spearman,0.5837038160712881,0.0355085010051235,dgp_soap_pca25_n250,0.0608330801126488,6.083308010222691
dgp,soap,25,250,n,R2,0.3046909311526798,0.0229997380142801,dgp_soap_pca25_n250,0.0754854695782034,7.5485469553429025
dgp,soap,25,250,n,RMSE,0.9593887127212496,0.0158720754022704,dgp_soap_pca25_n250,0.0165439463606468,1.654394635892244
dgp,soap,25,250,n,Spearman,0.6994201599384212,0.0330224327166182,dgp_soap_pca25_n250,0.0472140132756905,4.721401326894005
dgp,soap,25,250,poly_electronic,R2,0.1384613543413009,0.0183894946426799,dgp_soap_pca25_n250,0.132813193473109,13.281319337718823
dgp,soap,25,250,poly_electronic,RMSE,12.909601716088384,0.1369265001199176,dgp_soap_pca25_n250,0.010606562706677,1.060656270659493
dgp,soap,25,250,poly_electronic,Spearman,0.6538244194441225,0.035146975447783,dgp_soap_pca25_n250,0.0537559846382989,5.37559846300772
dgp,soap,25,250,poly_total,R2,0.0882349850017781,0.0136150348914148,dgp_soap_pca25_n250,0.1543042693455485,15.430426917066972
dgp,soap,25,250,poly_total,RMSE,20.053513701984873,0.1494006648355377,dgp_soap_pca25_n250,0.0074500991225667,0.7450099122529595
dgp,soap,25,250,poly_total,Spearman,0.4653080002785381,0.024874721040473,dgp_soap_pca25_n250,0.0534586145640795,5.345861455259071
dgp,uma,25,250,band_gap,R2,0.6349767983951089,0.0161824647052347,dgp_uma_pca25_n250,0.0254851275607794,2.548512755676592
dgp,uma,25,250,band_gap,RMSE,0.9582024567987756,0.0211049225259427,dgp_uma_pca25_n250,0.0220255358105127,2.202553580821409
dgp,uma,25,250,band_gap,Spearman,0.7554069617275272,0.0152274570318885,dgp_uma_pca25_n250,0.020157951678212,2.0157951675543595
dgp,uma,25,250,n,R2,0.4115370562060388,0.0158358545423061,dgp_uma_pca25_n250,0.0384797779531614,3.84797779438112
dgp,uma,25,250,n,RMSE,0.882643970792808,0.011842109843836,dgp_uma_pca25_n250,0.0134166325672617,1.341663256574168
dgp,uma,25,250,n,Spearman,0.796950478952831,0.019857167920051,dgp_uma_pca25_n250,0.0249164389061447,2.4916438903018263
dgp,uma,25,250,poly_electronic,R2,0.1812617333453885,0.0122486954133885,dgp_uma_pca25_n250,0.0675746346861253,6.757463464884523
dgp,uma,25,250,poly_electronic,RMSE,12.585205596961956,0.0940223708812898,dgp_uma_pca25_n250,0.0074708649101439,0.7470864910084547
