model,property,best_pca,R2,Spearman
gp,band_gap,50,0.8114677530046214,0.8648339913747318
gp,n,25,0.4286707042092634,0.8467626893976867
gp,poly_electronic,25,0.1022256878395371,0.7017280112387245
gp,poly_total,50,0.1108305835454372,0.5849903143513181
mtgp_2,band_gap,50,0.7748883182881479,0.8365639031693627
mtgp_2,n,50,0.4181920736941943,0.8545009061874371
mtgp_2,poly_electronic,25,0.0998241310270889,0.7438972036585734
mtgp_2,poly_total,25,0.1467207605580949,0.6245713334523902
dgp,band_gap,10,0.6739541540841901,0.7618951081347508
dgp,n,10,0.4239435610667173,0.8556221156461945
dgp,poly_electronic,25,0.1481104163809523,0.8059744043932355
dgp,poly_total,10,0.1281753506532057,0.5740645552166976
