model,descriptor,best_pca,avg_R2,avg_RMSE,avg_Spearman
gp,mace,50,0.2691449168272646,73505.4884169839,0.7194061436956801
gp,orb,50,0.3029502978490211,73483.95972691977,0.8244425244034294
gp,soap,50,0.23527742865213128,73521.63939418706,0.6393332063654346
gp,uma,50,0.2717884960889861,73503.3046297783,0.7559644280627321
mtgp_2,mace,50,0.266548641705001,73506.88992086718,0.7429023873572941
mtgp_2,orb,25,0.3015011836900296,73485.05699344321,0.829932575503003
mtgp_2,soap,50,0.23853209494921734,73520.15790131137,0.6996943434960997
mtgp_2,uma,50,0.26456177471170406,73507.04234907727,0.8055406370172351
dgp,mace,10,0.19995088244015677,73535.3947831001,0.6353740235183952
dgp,orb,25,0.302189817325157,73484.19584401527,0.8067507324459803
dgp,soap,25,0.21246192859414528,73530.792815036,0.5991231939600307
dgp,uma,25,0.2576668346089125,73509.59694108002,0.6636054326739412
