model,descriptor,property,best_pca,R2,RMSE,Spearman
gp,mace,eps_electronic,50,-0.0012542814964921,103825.23628081224,0.8783785121959313
gp,orb,eps_electronic,50,-0.0012437492608985,103824.69020801396,0.92970130832187
gp,soap,eps_electronic,50,-0.0012552980802908,103825.28898820966,0.6714594301494927
gp,uma,eps_electronic,25,-0.001253230383187,103825.18178299635,0.7699231096783828
mtgp_2,mace,eps_electronic,50,-0.0012550592430291,103825.2766050852,0.8759369537729127
mtgp_2,orb,eps_electronic,50,-0.00124533049196,103824.7721915515,0.927989708253395
mtgp_2,soap,eps_electronic,50,-0.0012559996310474,103825.3253619132,0.756533873172591
mtgp_2,uma,eps_electronic,25,-0.0012531378997585,103825.17698807069,0.8468307161621891
dgp,mace,eps_electronic,10,-0.0012551406033838,103825.28082342628,0.7992103839668977
dgp,orb,eps_electronic,10,-0.0012441686739264,103824.71195401363,0.858656212812839
dgp,soap,eps_electronic,10,-0.0012563872878656,103825.3454609598,0.4990802405769526
dgp,uma,eps_electronic,25,-0.0012521694175141,103825.12677450982,0.7665193798827712
gp,mace,eps_total,10,-0.0012576851556443,116489.8009168632,0.3390924319283498
gp,orb,eps_total,50,-0.0012543187717736,116489.60508752037,0.5962047257189809
gp,soap,eps_total,25,-0.0012583127027908,116489.83742249588,0.2667568617448593
gp,uma,eps_total,10,-0.0012587735544182,116489.86423088382,0.3670952105894904
mtgp_2,mace,eps_total,25,-0.0012588323212326,116489.86764951763,0.5370025050086491
mtgp_2,orb,eps_total,10,-0.001245941886822,116489.1177882147,0.655365456814624
mtgp_2,soap,eps_total,50,-0.0012566845265582,116489.74270863755,0.4122511137634622
mtgp_2,uma,eps_total,25,-0.0012573636492229,116489.782214359,0.4984371872382437
dgp,mace,eps_total,10,-0.0012574896258497,116489.78954257228,0.3250028128854779
dgp,orb,eps_total,10,-0.0012436931776893,116488.9869755623,0.5440321943040644
dgp,soap,eps_total,10,-0.0012568525318909,116489.75248180045,0.1358944910390354
dgp,uma,eps_total,25,-0.0012537756949655,116489.57349644986,0.3976164575630216
gp,mace,last phdos peak,50,0.8099513261248129,201.15994051066215,0.8569870593898908
gp,orb,last phdos peak,50,0.9113489615797354,137.5838852249922,0.947421539169437
gp,soap,last phdos peak,50,0.7083484213247212,249.644912485465,0.9246095741912874
gp,uma,last phdos peak,50,0.8178792717686225,194.76980994250837,0.9267029548040062
mtgp_2,mace,last phdos peak,50,0.8021624563167702,205.37195595516488,0.8595274456350073
mtgp_2,orb,last phdos peak,25,0.9070059250022238,140.65529688142487,0.9252452132264676
mtgp_2,soap,last phdos peak,50,0.7181089690052577,245.4056333833379,0.9302980435522462
mtgp_2,uma,last phdos peak,50,0.796199939507083,205.93596139606643,0.9258729744937234
dgp,mace,last phdos peak,10,0.6023652775497038,291.1139833017258,0.7819088737028098
dgp,orb,last phdos peak,25,0.9090659964536426,138.402910610897,0.907928998997335
dgp,soap,last phdos peak,25,0.6399015133617381,277.13784745489016,0.8191927623167323
dgp,uma,last phdos peak,25,0.775506448939217,214.0905522803731,0.8266804605760308
