model,descriptor,property,pca,R2,Spearman
dgp,soap,eps_electronic,25,-0.0012567133915996,0.6608363804772305
dgp,soap,eps_electronic,50,-0.0012583286406357,0.1272822244315015
dgp,soap,eps_total,10,-0.0012568525318909,0.1358944910390354
dgp,soap,eps_total,25,-0.0012590141877026,0.3173404390861292
dgp,soap,eps_total,50,-0.0012573313810519,0.0587495418428759
dgp,soap,last phdos peak,10,0.5530767187448173,0.785186420118589
dgp,soap,last phdos peak,25,0.6399015133617381,0.8191927623167323
dgp,soap,last phdos peak,50,0.1046079312978892,0.1060833552672028
dgp,uma,eps_electronic,10,-0.0012555718338937,0.5907553058491005
dgp,uma,eps_electronic,25,-0.0012521694175141,0.7665193798827712
dgp,uma,eps_electronic,50,-0.0012584908883102,0.0125582958470294
dgp,uma,eps_total,10,-0.0012549602289028,0.2111304658992507
dgp,uma,eps_total,25,-0.0012537756949655,0.3976164575630216
dgp,uma,eps_total,50,-0.0012580758914992,-0.0295701989505302
dgp,uma,last phdos peak,10,0.6491254807077607,0.7022618966831905
dgp,uma,last phdos peak,25,0.775506448939217,0.8266804605760308
dgp,uma,last phdos peak,50,-0.0034907707616974,0.0071503461123579
