descriptor,property,R2,best_pca,model
mace,eps_electronic,-0.0012542814964921,50,gp
mace,eps_total,-0.001262294146527,50,gp
mace,last phdos peak,0.8099513261248129,50,gp
orb,eps_electronic,-0.0012437492608985,50,gp
orb,eps_total,-0.0012543187717736,50,gp
orb,last phdos peak,0.9113489615797354,50,gp
soap,eps_electronic,-0.0012552980802908,50,gp
soap,eps_total,-0.0012608372880366,50,gp
soap,last phdos peak,0.7083484213247212,50,gp
uma,eps_electronic,-0.0012540929473662,50,gp
uma,eps_total,-0.001259690554298,50,gp
uma,last phdos peak,0.8178792717686225,50,gp
mace,eps_electronic,-0.0012550592430291,50,mtgp_2
mace,eps_total,-0.0012614719587381,50,mtgp_2
mace,last phdos peak,0.8021624563167702,50,mtgp_2
orb,eps_electronic,-0.0012485080540476,25,mtgp_2
orb,eps_total,-0.0012538658780874,25,mtgp_2
orb,last phdos peak,0.9070059250022238,25,mtgp_2
soap,eps_electronic,-0.0012559996310474,50,mtgp_2
soap,eps_total,-0.0012566845265582,50,mtgp_2
soap,last phdos peak,0.7181089690052577,50,mtgp_2
uma,eps_electronic,-0.0012543119295133,50,mtgp_2
uma,eps_total,-0.0012603034424575,50,mtgp_2
uma,last phdos peak,0.796199939507083,50,mtgp_2
mace,eps_electronic,-0.0012551406033838,10,dgp
mace,eps_total,-0.0012574896258497,10,dgp
mace,last phdos peak,0.6023652775497038,10,dgp
orb,eps_electronic,-0.0012472354510215,25,dgp
orb,eps_total,-0.0012493090271501,25,dgp
orb,last phdos peak,0.9090659964536426,25,dgp
soap,eps_electronic,-0.0012567133915996,25,dgp
soap,eps_total,-0.0012590141877026,25,dgp
soap,last phdos peak,0.6399015133617381,25,dgp
uma,eps_electronic,-0.0012521694175141,25,dgp
uma,eps_total,-0.0012537756949655,25,dgp
uma,last phdos peak,0.775506448939217,25,dgp
