model,descriptor,pca,avg_R2,avg_Spearman
gp,mace,10,0.17145412870867727,0.6613997391432495
gp,mace,25,0.261305246923549,0.688496079932391
gp,mace,50,0.2691449168272646,0.7194061436956801
gp,orb,10,0.2808317048408691,0.7279980715848727
gp,orb,25,0.2988407481452654,0.7768222387694119
gp,orb,50,0.3029502978490211,0.8244425244034294
gp,soap,10,0.19746571406717242,0.5814016242711415
gp,soap,25,0.2140839420800821,0.5829786162321997
gp,soap,50,0.23527742865213128,0.6393332063654346
gp,uma,10,0.24936183975949747,0.6456491410498644
gp,uma,25,0.26513464072303555,0.7002051090609972
gp,uma,50,0.2717884960889861,0.7559644280627321
mtgp_2,mace,10,0.1792930680024246,0.7182111059565983
mtgp_2,mace,25,0.26292233541041393,0.7422313188414355
mtgp_2,mace,50,0.266548641705001,0.7429023873572941
mtgp_2,orb,10,0.2841174721985259,0.8152361791191297
mtgp_2,orb,25,0.3015011836900296,0.829932575503003
mtgp_2,orb,50,0.18397786507046743,0.7654727216989582
mtgp_2,soap,10,0.19844161452450226,0.6234842767495279
mtgp_2,soap,25,0.20021010869212427,0.6456291324605875
mtgp_2,soap,50,0.23853209494921734,0.6996943434960997
mtgp_2,uma,10,0.24361466294526543,0.6772447506997823
mtgp_2,uma,25,0.25940198430674405,0.7503943179213195
mtgp_2,uma,50,0.26456177471170406,0.8055406370172351
dgp,mace,10,0.19995088244015677,0.6353740235183952
dgp,mace,25,0.19901949337106595,0.5227260903802703
dgp,mace,50,-0.0020169624598327333,-0.0091159813042053
dgp,orb,10,0.2926914218439202,0.7697444073647614
dgp,orb,25,0.302189817325157,0.8067507324459803
dgp,orb,50,-0.0018684171163712334,0.019741006039566366
dgp,soap,10,0.18352115964168694,0.4733870505781923
dgp,soap,25,0.21246192859414528,0.5991231939600307
dgp,soap,50,0.0340307570920672,0.09737170718052673
dgp,uma,10,0.21553831621498806,0.5013825561438473
dgp,uma,25,0.2576668346089125,0.6636054326739412
dgp,uma,50,-0.002002445847168933,-0.0032871856637143003
