model,property,best_pca,R2,Spearman
gp,eps_electronic,50,-0.0012437492608985,0.92970130832187
gp,eps_total,50,-0.0012543187717736,0.5962047257189809
gp,last phdos peak,50,0.9113489615797354,0.947421539169437
mtgp_2,eps_electronic,50,-0.00124533049196,0.927989708253395
mtgp_2,eps_total,10,-0.001245941886822,0.6583360780132284
mtgp_2,last phdos peak,25,0.9070059250022238,0.9252452132264676
dgp,eps_electronic,10,-0.0012441686739264,0.8956290983574865
dgp,eps_total,10,-0.0012436931776893,0.6166940999831191
dgp,last phdos peak,25,0.9090659964536426,0.907928998997335
