cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,8,4,8,0,0,1.5000,450,0.8095,0.0000,0.1086,0.0612,773.11
1,6,3,3,3,0,1.5000,451,0.1906,0.0000,0.0942,0.0576,113.68
2,11,4,4,7,0,1.5000,453,0.2521,0.0000,0.0906,0.0582,192.87
3,7,4,4,3,0,1.5000,454,0.1942,0.0000,0.0891,0.0566,206.18
4,6,3,3,3,0,1.5000,456,0.1669,0.0000,0.0917,0.0567,139.09
5,8,4,4,4,0,1.5000,457,0.3609,0.0000,0.1077,0.0602,196.08
6,2,1,1,1,0,1.5000,457,nan,0.0001,0.1077,0.0602,68.95
7,7,4,4,3,0,1.5000,458,0.5564,0.0001,0.0907,0.0574,201.79
8,4,2,2,2,0,1.5000,460,0.3539,0.0001,0.0872,0.0574,80.22
9,6,3,3,3,0,1.5000,462,0.2559,0.0001,0.1067,0.0608,163.76
10,4,2,2,2,0,1.5000,462,nan,0.0001,0.1067,0.0608,107.09
11,7,4,4,3,0,1.5000,465,0.5503,0.0001,0.0980,0.0582,108.53
12,8,4,4,4,0,1.5000,465,nan,0.0001,0.0980,0.0582,317.45
13,4,2,2,2,0,1.5000,465,nan,0.0001,0.0980,0.0582,202.12
14,6,3,3,3,0,1.5000,467,0.2577,0.0001,0.1031,0.0619,140.25
15,4,2,2,2,0,1.5000,468,0.2550,0.0001,0.1044,0.0611,137.40
16,4,2,2,2,0,1.5000,469,0.1651,0.0001,0.0986,0.0595,149.20
17,8,4,4,4,0,1.5000,470,0.1448,0.0002,0.0963,0.0574,268.39
18,7,4,4,3,0,1.5000,473,0.1888,0.0002,0.0943,0.0562,156.10
19,7,4,4,3,0,1.5000,476,0.1910,0.0002,0.0982,0.0575,185.56
