cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,4,16,0,0,300.0000,516,45.6504,0.0097,25.3468,15.1935,417.78
1,16,4,4,12,0,300.0000,520,84.4005,0.0097,24.0368,14.7692,89.37
2,16,4,4,12,0,300.0000,524,97.9814,0.0097,25.1618,14.7325,130.61
3,16,4,4,12,0,300.0000,528,73.7005,0.0097,23.7018,14.5037,92.58
4,15,4,4,11,0,300.0000,532,80.3377,0.0097,26.1644,15.7380,105.17
5,16,4,4,12,0,300.0000,536,105.0908,0.0096,24.8147,15.0415,133.75
6,16,4,4,12,0,300.0000,540,90.2059,0.0096,24.1486,14.6480,120.97
7,16,4,4,12,0,300.0000,544,136.5765,0.0095,24.2524,14.8669,150.52
8,16,4,4,12,0,300.0000,548,102.5277,0.0095,23.0916,14.3346,142.97
9,16,4,4,12,0,300.0000,552,115.5594,0.0095,22.5657,14.0569,109.64
10,16,4,4,12,0,300.0000,556,105.1614,0.0095,23.3613,13.4911,113.78
11,16,4,4,12,0,300.0000,560,100.9680,0.0095,22.6865,13.6521,80.37
12,16,4,4,12,0,300.0000,564,74.5522,0.0094,23.9245,14.0914,142.15
13,15,4,4,11,0,300.0000,568,132.5775,0.0093,22.8330,14.3042,112.24
14,13,4,4,9,0,300.0000,572,65.9901,0.0093,23.8911,13.9001,101.98
15,16,4,4,12,0,300.0000,576,97.0060,0.0093,21.1357,13.2659,128.53
16,16,4,4,12,0,300.0000,580,91.0034,0.0093,22.0777,13.2708,135.01
17,16,4,4,12,0,300.0000,584,126.2928,0.0092,21.8869,13.3956,119.88
18,16,4,4,12,0,300.0000,588,172.3742,0.0092,23.1840,14.0590,130.69
19,16,4,4,12,0,300.0000,592,86.5562,0.0092,21.9533,13.8933,161.58
