heat_capacity mean,heat_capacity std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
0.21199795751439643,0.07191664849061817,0.009725021116637105,0.025729987369473448,0.0606750070958396,0.0888900518202795,0.5660377358490566,0.8867924528301887,1.0,1.0,1.0,1.0,0.6792452830188679,0.09433962264150944,0.6792452830188679,1.0,0.9811320754716981,0.32075471698113206,3.191500679080422e-05,8,8,,1.0,16,0
0.2596670361437061,0.13947932764613125,0.02740917711304748,0.06753591986117916,0.06358337621394004,0.0494473541190295,0.40350877192982454,0.8421052631578947,1.0,1.0,1.0,1.0,0.5263157894736842,0.07017543859649122,0.5263157894736842,1.0,1.0,0.47368421052631576,4.609945425338388e-05,17,17,,1.0,32,1
0.2565296396968568,0.091628277647565,0.02389548495972962,0.0342663609610185,0.07070141201506068,0.060997559113824436,0.4827586206896552,0.7931034482758621,1.0,1.0,1.0,1.0,0.6896551724137931,0.08620689655172414,0.6896551724137931,1.0,1.0,0.3103448275862069,3.7825193233545746e-05,29,29,,1.0,48,2
0.267850785880687,0.1262244890429618,0.03419102171904316,0.05467328374375523,0.06845178213583483,0.09464368491358933,0.38181818181818183,0.7636363636363637,1.0,1.0,1.0,1.0,0.6,0.05454545454545454,0.6,1.0,1.0,0.4,4.728149154193218e-05,38,38,,1.0,64,3
0.3273742828344293,0.2056736172946196,0.0630828270781813,0.10340771978097332,0.05755455188102796,0.06379406167216453,0.4528301886792453,0.8490566037735849,1.0,1.0,1.0,1.0,0.6037735849056604,0.03773584905660377,0.6037735849056604,1.0,1.0,0.39622641509433965,3.546111865644914e-05,47,47,,1.0,80,4
0.25273600679224945,0.07486826887655845,0.018250536777255126,0.02965615251105735,0.06126386971453016,0.03513298251253092,0.509090909090909,0.8363636363636363,1.0,1.0,1.0,1.0,0.6727272727272727,0.05454545454545454,0.6727272727272727,1.0,0.9818181818181818,0.32727272727272727,3.900723052209405e-05,58,58,,1.0,96,5
0.417423436518433,0.41744820238900154,0.1143034697684288,0.22844857610506367,0.06949801769549015,0.023431917382447334,0.2692307692307692,0.75,1.0,1.0,1.0,1.0,0.4807692307692308,0.11538461538461539,0.4807692307692308,1.0,1.0,0.5192307692307693,6.264797629306015e-05,64,64,,1.0,110,6
0.31186616577247706,0.11285511567258154,0.04488693786850901,0.056005204438101995,0.0752046062984808,0.02840310804820949,0.4,0.7454545454545455,1.0,1.0,1.0,1.0,0.6,0.12727272727272726,0.6,1.0,1.0,0.4,4.4917416964835574e-05,73,73,,1.0,126,7
0.18824665793602158,0.04471633505061308,0.0008641818873487316,0.002444275490891509,0.06909925157489498,0.03300133401393048,0.3333333333333333,0.7543859649122807,1.0,1.0,1.0,1.0,0.5263157894736842,0.08771929824561403,0.5263157894736842,1.0,1.0,0.47368421052631576,4.255334238773897e-05,82,82,,1.0,142,8
0.24930517168668898,0.11823766498238404,0.02949341748652913,0.04543063202846368,0.07023896908636895,0.05440992758127876,0.4,0.7818181818181819,1.0,1.0,1.0,1.0,0.6181818181818182,0.07272727272727272,0.6181818181818182,1.0,1.0,0.38181818181818183,3.7825193233545746e-05,91,91,,1.0,158,9
