cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,3,8,3,0,0,1.5000,162,0.1760,nan,nan,nan,514.82,nan,nan,nan
1,4,8,4,0,0,1.5000,163,0.0397,nan,nan,nan,416.37,nan,nan,nan
2,3,8,3,0,0,1.5000,164,0.0583,nan,nan,nan,109.15,nan,nan,nan
3,10,8,8,2,0,1.5000,166,0.3209,0.0000,0.0000,0.0000,459.37,nan,nan,nan
4,4,8,4,0,0,1.5000,167,0.0607,nan,nan,nan,307.57,nan,nan,nan
5,5,8,5,0,1,1.5000,169,0.2145,nan,nan,nan,666.49,nan,nan,nan
6,6,8,6,0,0,1.5000,170,0.0513,nan,nan,nan,644.94,nan,nan,nan
7,6,8,6,0,0,1.5000,173,0.1499,nan,nan,nan,457.48,nan,nan,nan
8,7,8,7,0,0,1.5000,174,0.0465,nan,nan,nan,753.17,nan,nan,nan
9,4,8,4,0,0,1.5000,175,0.0614,nan,nan,nan,307.48,nan,nan,nan
