model,descriptor,pca_components,n_train,property,metric,mean,std,config,cv,relative_std
mtgp_2,orb,50,100,eps_total,Spearman,0.5540781804359065,0.0690863196682443,mtgp_2_orb_pca50_n100,0.1246869523248369,12.46869523023335
mtgp_2,orb,50,100,last phdos peak,R2,0.7935464839383123,0.0541900226811377,mtgp_2_orb_pca50_n100,0.0682884037393709,6.828840373076546
mtgp_2,orb,50,100,last phdos peak,RMSE,218.1117133918886,27.69295557835158,mtgp_2_orb_pca50_n100,0.1269668425766511,12.696684257659296
mtgp_2,orb,50,100,last phdos peak,Spearman,0.8664806260933113,0.0309835510473137,mtgp_2_orb_pca50_n100,0.035757927083735,3.5757927079608223
mtgp_2,mace,50,100,eps_electronic,R2,-0.0008355095166237,1.5839441277853658e-06,mtgp_2_mace_pca50_n100,,0.189578204280412
mtgp_2,mace,50,100,eps_electronic,RMSE,84702.1442056568,0.0670257208008852,mtgp_2_mace_pca50_n100,7.913107918277341e-07,7.91310791827733e-05
mtgp_2,mace,50,100,eps_electronic,Spearman,0.6873620349798774,0.0923404669497506,mtgp_2_mace_pca50_n100,0.134340365412317,13.434036539277272
mtgp_2,mace,50,100,eps_total,R2,-0.0008370791713765,1.693529002336065e-06,mtgp_2_mace_pca50_n100,,0.2023140531901132
mtgp_2,mace,50,100,eps_total,RMSE,95033.97821282977,0.0804041103157796,mtgp_2_mace_pca50_n100,8.460564508381792e-07,8.460564508381783e-05
mtgp_2,mace,50,100,eps_total,Spearman,0.4684357339688946,0.0301016169623145,mtgp_2_mace_pca50_n100,0.0642598648640099,6.425986485029202
mtgp_2,mace,50,100,last phdos peak,R2,0.3436064604659751,0.2873215504951665,mtgp_2_mace_pca50_n100,0.8361936795528264,83.61936793094684
mtgp_2,mace,50,100,last phdos peak,RMSE,382.1862684712993,87.31280026053186,mtgp_2_mace_pca50_n100,0.228456141581886,22.845614158182627
mtgp_2,mace,50,100,last phdos peak,Spearman,0.6936781483744254,0.0812600267474963,mtgp_2_mace_pca50_n100,0.117143702649308,11.714370263242074
mtgp_2,soap,50,100,eps_electronic,R2,-0.000835084623428,1.9004322658125969e-07,mtgp_2_soap_pca50_n100,,0.0227573587744651
mtgp_2,soap,50,100,eps_electronic,RMSE,84702.12622602083,0.0080418170298485,mtgp_2_soap_pca50_n100,9.49423277567975e-08,9.494232775679734e-06
mtgp_2,soap,50,100,eps_electronic,Spearman,0.5685378253381099,0.0462769463369217,mtgp_2_soap_pca50_n100,0.0813964247838756,8.139642476955885
mtgp_2,soap,50,100,eps_total,R2,-0.0008361526442678,4.720663732517988e-07,mtgp_2_soap_pca50_n100,,0.0564569543648602
mtgp_2,soap,50,100,eps_total,RMSE,95033.93422389468,0.0224124215977267,mtgp_2_soap_pca50_n100,2.358359861744151e-07,2.358359861744148e-05
mtgp_2,soap,50,100,eps_total,Spearman,0.296831632033968,0.053040579515017,mtgp_2_soap_pca50_n100,0.1786891078675445,17.868910780734574
mtgp_2,soap,50,100,last phdos peak,R2,0.1791107662825144,0.1864387867136081,mtgp_2_soap_pca50_n100,1.0409133442014038,104.09133436202475
mtgp_2,soap,50,100,last phdos peak,RMSE,435.38925545942857,51.39610386958156,mtgp_2_soap_pca50_n100,0.1180463303242237,11.804633032419668
mtgp_2,soap,50,100,last phdos peak,Spearman,0.6929040764902814,0.0766017053300318,mtgp_2_soap_pca50_n100,0.1105516736429623,11.05516736270075
mtgp_2,uma,50,100,eps_electronic,R2,-0.0008343759100053,8.696548185139548e-07,mtgp_2_uma_pca50_n100,,0.1042281666881135
mtgp_2,uma,50,100,eps_electronic,RMSE,84702.09623628498,0.0368000802683391,mtgp_2_uma_pca50_n100,4.344648114219227e-07,4.344648114219221e-05
mtgp_2,uma,50,100,eps_electronic,Spearman,0.673847363121704,0.0303783254843564,mtgp_2_uma_pca50_n100,0.0450819089706369,4.508190896394672
mtgp_2,uma,50,100,eps_total,R2,-0.0008219838272874,1.4327498036589696e-05,mtgp_2_uma_pca50_n100,,1.743038709269093
mtgp_2,uma,50,100,eps_total,RMSE,95033.26152234862,0.6802365307529573,mtgp_2_uma_pca50_n100,7.1578784086347344e-06,0.0007157878408634
