model,property,best_pca,R2,Spearman
gp,eps_electronic,25,-0.000831546369885,0.8306990998016724
gp,eps_total,50,-0.0008381635842904,0.539228589518604
gp,last phdos peak,25,0.6350129640598117,0.8502695637538841
mtgp_2,eps_electronic,50,-0.0008314581480409,0.8537140236578207
mtgp_2,eps_total,10,-0.0008364814598221,0.5540781804359065
mtgp_2,last phdos peak,50,0.7935464839383123,0.8664806260933113
dgp,eps_electronic,10,-0.0008330704722729,0.7897350069735005
dgp,eps_total,25,-0.0008329094934027,0.4834917312452426
dgp,last phdos peak,10,0.6893139891820457,0.8620083166629418
