model,descriptor,best_pca,avg_R2,avg_RMSE,avg_Spearman
gp,mace,25,0.16938143245863688,60024.59579496109,0.6579213759655619
gp,orb,25,0.21111403133817797,60008.92073902889,0.7400657510247202
gp,soap,50,0.17038122581292844,60024.53344578202,0.5975393973738026
gp,uma,50,0.16280505864543587,60027.16525722272,0.6216269335963335
mtgp_2,mace,25,0.1543589925709052,60027.96576488379,0.6565136358852776
mtgp_2,orb,50,0.2639582610161622,59984.73763088417,0.7580909433956795
mtgp_2,soap,10,0.1405760219822658,60034.52176744872,0.5149435877211662
mtgp_2,uma,25,0.15420138685754678,60029.91392255747,0.6054274630557231
dgp,mace,10,0.058438352138938165,60057.61544306577,0.5327618623187759
dgp,orb,10,0.22921545717850245,60001.50555225231,0.7117450182938949
dgp,soap,25,0.11819216903851404,60040.54562510471,0.4611221033632554
dgp,uma,10,0.09782331891589213,60046.70557045969,0.49710115053116005
