cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,6,3,6,0,0,300.0000,506,45.9663,0.0098,25.7383,15.7932,815.16
1,4,2,2,2,0,300.0000,508,50.2775,0.0098,24.9570,15.6594,107.39
2,3,2,2,1,0,300.0000,510,75.0588,0.0098,25.4114,15.9675,151.99
3,5,3,3,2,0,300.0000,513,109.4510,0.0098,25.4686,16.0178,110.24
4,11,4,4,7,0,300.0000,517,103.9521,0.0097,26.1575,15.6313,144.85
5,7,4,4,3,0,300.0000,521,79.6597,0.0097,26.4833,16.0215,151.20
6,7,4,4,3,0,300.0000,525,60.7668,0.0097,26.5302,16.2122,117.62
7,10,4,4,6,0,300.0000,529,86.5674,0.0097,26.6584,15.3957,123.67
8,5,3,3,2,0,300.0000,532,109.9039,0.0096,25.8167,15.2663,163.61
9,6,3,3,3,0,300.0000,535,88.8596,0.0096,25.5755,14.8408,172.60
10,5,3,3,2,0,300.0000,538,78.9810,0.0096,26.2108,16.0452,134.58
11,7,4,4,3,0,300.0000,542,97.5170,0.0095,24.8199,15.1217,128.44
12,4,2,2,2,0,300.0000,544,40.3738,0.0095,24.0744,14.3959,113.30
13,3,2,2,1,0,300.0000,546,83.4223,0.0094,24.1819,15.0840,158.96
14,8,4,4,4,0,300.0000,550,66.5838,0.0093,23.1710,15.0724,249.98
15,12,4,4,8,0,300.0000,554,71.7677,0.0093,26.3640,15.6912,274.94
16,6,3,3,3,0,300.0000,557,79.2551,0.0093,23.3024,14.0683,117.16
17,6,3,3,3,0,300.0000,560,52.9667,0.0093,22.5384,14.4738,163.26
18,7,4,4,3,0,300.0000,564,95.3304,0.0092,24.5476,13.9840,315.39
19,7,4,4,3,0,300.0000,568,49.1527,0.0092,22.8465,14.5186,124.58
