model,descriptor,pca,avg_R2,avg_Spearman
gp,mace,10,0.12686191429698493,0.6085227202294997
gp,mace,25,0.224398663608261,0.6750220137268103
gp,mace,50,0.23202427922258886,0.6964743557188142
gp,orb,10,0.23424361432729923,0.6826876195452053
gp,orb,25,0.27104767905308197,0.7195383501681519
gp,orb,50,0.2733262563423365,0.7585671950278375
gp,soap,10,0.16067032974878698,0.4767478756130184
gp,soap,25,0.15071522748854965,0.5247248980480154
gp,soap,50,0.21485398995112867,0.5871308751322878
gp,uma,10,0.23115867621405342,0.5644338857314356
gp,uma,25,0.24523220104838814,0.6395317953119347
gp,uma,50,0.25601423853104566,0.7104059926194587
mtgp_2,mace,10,0.11796590505095654,0.6714672817180333
mtgp_2,mace,25,0.22629278923467133,0.6928391481662165
mtgp_2,mace,50,0.14468783472406133,0.6978095377958783
mtgp_2,orb,10,0.20269783057571836,0.7588192459830877
mtgp_2,orb,25,0.27381733202829234,0.7761391004610866
mtgp_2,orb,50,0.1782614173746252,0.7490565469343436
mtgp_2,soap,10,0.14248253450352438,0.5755989763120307
mtgp_2,soap,25,0.14348114563967593,0.5813503571559889
mtgp_2,soap,50,0.17966108745156364,0.6234136005248593
mtgp_2,uma,10,0.2242717263942076,0.6242170569457981
mtgp_2,uma,25,0.22156190912207685,0.6255712379282051
mtgp_2,uma,50,0.14429883829448883,0.6446083321774864
dgp,mace,10,0.13722909173824654,0.5917572995012825
dgp,mace,25,0.21152106278489954,0.590206444313966
dgp,mace,50,-0.0011150195081647332,0.0009653344171439999
dgp,orb,10,0.2724487145357693,0.7311652139674036
dgp,orb,25,0.19443981380591158,0.546880076847542
dgp,orb,50,-0.005127242217796166,-0.0011216500839183003
dgp,soap,10,0.17960304010173353,0.5090795118916159
dgp,soap,25,0.12018458886184001,0.42789823059003407
dgp,soap,50,-0.0009619291508025334,0.0054677375382241
dgp,uma,10,0.2095541994511024,0.5790101284609521
dgp,uma,25,0.11136363283928276,0.42243110262764044
dgp,uma,50,-0.0010621330301536,-0.0023095108233874007
