model,descriptor,property,pca,R2,Spearman
gp,mace,eps_electronic,10,-0.0009536384318322,0.763220929522048
gp,mace,eps_electronic,25,-0.0009550434377801,0.8055066995004188
gp,mace,eps_electronic,50,-0.0009543672734788,0.8434505019025437
gp,mace,eps_total,10,-0.0009582321474002,0.3145240324056956
gp,mace,eps_total,25,-0.0009558647698526,0.3893008734749302
gp,mace,eps_total,50,-0.0009552480459662,0.4289023563306195
gp,mace,last phdos peak,10,0.3824976134701872,0.7478231987607552
gp,mace,last phdos peak,25,0.6751068990324157,0.8302584682050821
gp,mace,last phdos peak,50,0.6979824529872116,0.8170702089232794
gp,orb,eps_electronic,10,-0.000951713540872,0.8462642734667323
gp,orb,eps_electronic,25,-0.0009548384944136,0.8762811704884299
gp,orb,eps_electronic,50,-0.0009523202485078,0.9260592139439134
gp,orb,eps_total,10,-0.0009575863826041,0.3608086957207851
gp,orb,eps_total,25,-0.0009472563514499,0.3925866808248046
gp,orb,eps_total,50,-0.0009631608796202,0.4741951994884784
gp,orb,last phdos peak,10,0.7046401429053738,0.8409898894480984
gp,orb,last phdos peak,25,0.8150451320051093,0.8897471991912212
gp,orb,last phdos peak,50,0.8218942501551375,0.8754471716511206
gp,soap,eps_electronic,10,-0.000958293734377,0.3161455509826217
gp,soap,eps_electronic,25,-0.0009561692106808,0.5142713886582305
gp,soap,eps_electronic,50,-0.000955630414869,0.5944433829831335
gp,soap,eps_total,10,-0.0009579971998124,0.2368298271783112
gp,soap,eps_total,25,-0.000956505752145,0.1713275815709735
gp,soap,eps_total,50,-0.0009598628904446,0.2701825800121633
gp,soap,last phdos peak,10,0.4839272801805503,0.8772682486781225
gp,soap,last phdos peak,25,0.4540583574284748,0.8885757239148422
gp,soap,last phdos peak,50,0.6464774631586996,0.8967666624015667
gp,uma,eps_electronic,10,-0.0009572891455117,0.5947314950559981
gp,uma,eps_electronic,25,-0.000952660027494,0.7105600636969408
gp,uma,eps_electronic,50,-0.0009540044091705,0.8107419089836171
