model,descriptor,property,best_pca,R2,RMSE,Spearman
gp,mace,eps_electronic,10,-0.0009536384318322,90571.94903111324,0.763220929522048
gp,orb,eps_electronic,10,-0.000951713540872,90571.86194356454,0.8462642734667323
gp,soap,eps_electronic,50,-0.000955630414869,90572.03915402766,0.5944433829831335
gp,uma,eps_electronic,25,-0.000952660027494,90571.90476532784,0.7105600636969408
mtgp_2,mace,eps_electronic,10,-0.0009530002720131,90571.92015894194,0.7779601759383151
mtgp_2,orb,eps_electronic,50,-0.0009525287236614,90571.89882477242,0.9263045102876962
mtgp_2,soap,eps_electronic,10,-0.0009554187929497,90572.02957966871,0.5542308650989927
mtgp_2,uma,eps_electronic,25,-0.0009520041167931,90571.87509006073,0.7439799510031198
dgp,mace,eps_electronic,10,-0.0009554268887827,90572.02994594743,0.7258703701514385
dgp,orb,eps_electronic,25,-0.0009537681498366,90571.95489984375,0.6610780514270381
dgp,soap,eps_electronic,10,-0.0009568905460966,90572.09616586247,0.5227784461225282
dgp,uma,eps_electronic,25,-0.0009506398266214,90571.81336551218,0.4965467000582442
gp,mace,eps_total,50,-0.0009552480459662,101619.80005916485,0.4289023563306195
gp,orb,eps_total,25,-0.0009472563514499,101619.39438216352,0.3925866808248046
gp,soap,eps_total,25,-0.000956505752145,101619.86390210978,0.1713275815709735
gp,uma,eps_total,25,-0.00095197954748,101619.63414378226,0.3419046929921
mtgp_2,mace,eps_total,10,-0.0009511099486408,101619.5900032006,0.4763436637007469
mtgp_2,orb,eps_total,50,-0.0009523713656734,101619.6540346378,0.5645999418634874
mtgp_2,soap,eps_total,10,-0.0009551564913581,101619.79541175146,0.2914923820624043
mtgp_2,uma,eps_total,50,-0.0009541626880541,101619.74496486648,0.4092517101029007
dgp,mace,eps_total,50,-0.0009552074817882,101619.79800011024,0.0086430346032833
dgp,orb,eps_total,25,-0.000951221668788,101619.59567382556,0.4585475471243778
dgp,soap,eps_total,50,-0.0009539784367121,101619.735611989,-0.0124957012979635
dgp,uma,eps_total,25,-0.0009459998011816,101619.33060371448,0.2496641212653523
gp,mace,last phdos peak,50,0.6979824529872116,263.3274843840348,0.8170702089232794
gp,orb,last phdos peak,50,0.8218942501551375,200.03624923250223,0.8754471716511206
gp,soap,last phdos peak,50,0.6464774631586996,285.959369558849,0.8967666624015667
gp,uma,last phdos peak,50,0.7699559644016113,230.49872863544405,0.8796893010932119
mtgp_2,mace,last phdos peak,25,0.6807880923248247,271.0155675906124,0.8364782333108337
mtgp_2,orb,last phdos peak,25,0.8233655362273371,201.34814678014865,0.8985500892361309
mtgp_2,soap,last phdos peak,50,0.540896286851084,324.7216253916072,0.8442655460626032
mtgp_2,uma,last phdos peak,10,0.6747289934717873,273.43189573123425,0.8396957978851644
dgp,mace,last phdos peak,25,0.6364750153474611,289.36250869311357,0.6930772528464132
dgp,orb,last phdos peak,10,0.8192558592423357,203.85706244012795,0.874083288855301
dgp,soap,last phdos peak,10,0.5407252567955815,325.28034314273594,0.8175759678271808
dgp,uma,last phdos peak,10,0.6305775880204949,292.0718922455146,0.758786569949953
