bulk_modulus mean,bulk_modulus std,reward mean,reward std,avg_energy_above_hull_per_atom,avg_rmsd_from_relaxation,frac_novel_unique_stable_structures,frac_stable_structures,frac_successful_jobs,avg_comp_validity,avg_structure_comp_validity,avg_structure_validity,frac_novel_structures,frac_novel_systems,frac_novel_unique_structures,frac_unique_structures,frac_unique_systems,precision,recall,crystal_num,unique_comps,burden,div_ratio,cost,step
65.30934831915093,56.272101710156434,0.12360334355900167,0.14399369794608177,0.07475905835597071,0.03253848006390049,0.4339622641509434,0.7735849056603774,1.0,1.0,1.0,1.0,0.6226415094339622,0.09433962264150944,0.6226415094339622,1.0,1.0,0.37735849056603776,3.191500679080422e-05,23,23,,1.0,23,0
60.646052583867785,45.88438956008265,0.11082191035495188,0.11673651902490727,0.07363507855680781,0.05501327962588552,0.49019607843137253,0.7647058823529411,1.0,1.0,1.0,1.0,0.7058823529411765,0.13725490196078433,0.7058823529411765,1.0,1.0,0.29411764705882354,2.0094633905321177e-05,48,48,,1.0,48,1
60.708678077589745,32.37703176003558,0.10847603315862205,0.08327281196210955,0.07749919531933572,0.05859799482614108,0.3392857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,0.6071428571428571,0.14285714285714285,0.6071428571428571,1.0,1.0,0.39285714285714285,3.7825193233545746e-05,67,67,,1.0,67,2
76.1557637898502,52.21269279788646,0.14982302062377698,0.13505474591114397,0.0786295103863759,0.06724381993802518,0.43137254901960786,0.7450980392156863,1.0,1.0,1.0,1.0,0.6862745098039216,0.058823529411764705,0.6862745098039216,1.0,1.0,0.3137254901960784,4.728149154193218e-05,89,89,,1.0,89,3
98.84046540163396,69.94403191234835,0.20747490895166834,0.18406324187460094,0.08032173914200917,0.10115396618353346,0.39622641509433965,0.6981132075471698,1.0,1.0,1.0,1.0,0.660377358490566,0.09433962264150944,0.660377358490566,1.0,1.0,0.33962264150943394,2.60048203480627e-05,110,110,,1.0,110,4
78.83461102420145,57.346852350709625,0.15577642579605047,0.14987348653665472,0.0806470834249471,0.07447797579019419,0.3508771929824561,0.6842105263157895,1.0,1.0,1.0,1.0,0.6140350877192983,0.10526315789473684,0.6140350877192983,1.0,1.0,0.38596491228070173,5.6737789850318616e-05,130,130,,1.0,130,5
80.67796322553941,56.174160471883155,0.15971807826224974,0.1477842707281463,0.08790999227996897,0.06893167458852854,0.2962962962962963,0.5555555555555556,1.0,1.0,1.0,1.0,0.7407407407407407,0.18518518518518517,0.7407407407407407,1.0,1.0,0.25925925925925924,2.364074577096609e-05,146,146,,1.0,146,6
73.80849741557701,56.13562645476591,0.14735676557992244,0.1414066899019154,0.07444279280455007,0.09278446647072279,0.2692307692307692,0.7115384615384616,1.0,1.0,1.0,1.0,0.5384615384615384,0.038461538461538464,0.5384615384615384,1.0,1.0,0.46153846153846156,3.7825193233545746e-05,160,160,,1.0,160,7
72.26241016841628,57.136028556296274,0.13931460644043694,0.14845245888147834,0.06989149995306775,0.07200807132070627,0.5094339622641509,0.7735849056603774,1.0,1.0,1.0,1.0,0.7169811320754716,0.11320754716981132,0.7169811320754716,1.0,1.0,0.2830188679245283,3.427908136790083e-05,187,187,,1.0,187,8
79.06382903692467,47.59504053010483,0.15624656066814302,0.12417968308417592,0.05874197092027975,0.0954343473689117,0.375,0.8035714285714286,1.0,1.0,1.0,1.0,0.5357142857142857,0.14285714285714285,0.5357142857142857,1.0,1.0,0.4642857142857143,3.7825193233545746e-05,208,208,,1.0,208,9
67.10397576696079,53.64760490075094,0.12750938914776533,0.1374967075134868,0.07484139488515965,0.04707148790668909,0.39622641509433965,0.7169811320754716,1.0,1.0,1.0,1.0,0.660377358490566,0.11320754716981132,0.660377358490566,1.0,1.0,0.33962264150943394,5.3191677984673705e-05,229,229,,1.0,229,10
94.62275084829028,45.925885562201245,0.1963756601270797,0.12085759358474012,0.07900405132932492,0.07502161220583613,0.37735849056603776,0.7358490566037735,1.0,1.0,1.0,1.0,0.6415094339622641,0.11320754716981132,0.6415094339622641,1.0,1.0,0.3584905660377358,4.373537967628727e-05,249,249,,1.0,249,11
73.30811437594338,55.34101392786392,0.14028451151564048,0.14563424717858925,0.07749048726997185,0.0598334110248806,0.3103448275862069,0.6551724137931034,1.0,1.0,1.0,1.0,0.6206896551724138,0.10344827586206896,0.6206896551724138,1.0,1.0,0.3793103448275862,4.4917416964835574e-05,267,267,,1.0,267,12
92.31018381421927,47.47160970279103,0.19034453017010833,0.12484188365598162,0.06868804171659908,0.036253343012974885,0.3508771929824561,0.7719298245614035,1.0,1.0,1.0,1.0,0.5789473684210527,0.12280701754385964,0.5789473684210527,1.0,1.0,0.42105263157894735,5.555575256177031e-05,287,287,,1.0,287,13
69.54225737575054,50.52485861503171,0.13037436151513299,0.13296015425008345,0.08616290603064249,0.041444703838032865,0.21153846153846154,0.6730769230769231,1.0,1.0,1.0,1.0,0.5192307692307693,0.15384615384615385,0.5192307692307693,1.0,0.9807692307692307,0.4807692307692308,6.737612544725336e-05,298,298,,1.0,298,14
82.33874538755039,48.81481531553335,0.16438047549992718,0.12803003041840763,0.0741498073374771,0.0256500281226134,0.25,0.6785714285714286,1.0,1.0,1.0,1.0,0.5535714285714286,0.05357142857142857,0.5535714285714286,1.0,1.0,0.44642857142857145,5.910186442741523e-05,312,312,,1.0,312,15
115.43366451676299,74.4243103710992,0.2511594524991397,0.19583005708721074,0.09486179538090596,0.05743908415512591,0.2777777777777778,0.7407407407407407,1.0,1.0,1.0,1.0,0.5,0.14814814814814814,0.5,1.0,1.0,0.5,7.328631188999489e-05,327,327,,1.0,327,16
90.03654779864317,63.61703609479462,0.1852435429806635,0.16633834587719054,0.1055046590686283,0.04900588923604367,0.39655172413793105,0.7241379310344828,1.0,1.0,1.0,1.0,0.6379310344827587,0.08620689655172414,0.6379310344827587,1.0,1.0,0.3620689655172414,5.08276034075771e-05,350,350,,1.0,350,17
91.7939842744295,48.55561206242728,0.18969537186728347,0.12659971683586782,0.08006930777962544,0.03459821682160226,0.3,0.7333333333333333,1.0,1.0,1.0,1.0,0.5666666666666667,0.11666666666666667,0.5666666666666667,1.0,1.0,0.43333333333333335,0.0001016552068151542,368,368,,1.0,368,18
83.44209385241665,67.02089555099407,0.17058681356654615,0.17249461449321088,0.07072648185080073,0.03323550835333725,0.35185185185185186,0.7962962962962963,1.0,1.0,1.0,1.0,0.5370370370370371,0.07407407407407407,0.5370370370370371,1.0,1.0,0.46296296296296297,4.609945425338388e-05,387,387,,1.0,387,19
