cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,11,8,11,0,0,1.5000,164,0.1558,nan,nan,nan,1235.92,nan,nan,nan
1,8,8,8,0,0,1.5000,169,0.2122,nan,nan,nan,504.59,nan,nan,nan
2,8,8,8,0,0,1.5000,170,0.0171,nan,nan,nan,615.33,nan,nan,nan
3,14,8,8,6,0,1.5000,174,0.3693,0.0000,0.0000,0.0000,1039.54,nan,nan,nan
4,10,8,8,2,0,1.5000,177,0.4052,0.0000,0.0000,0.0000,937.82,nan,nan,nan
5,11,8,11,0,1,1.5000,181,0.1096,nan,nan,nan,1037.23,0.9502,1.0000,1.0000
6,10,8,8,2,0,1.5000,184,0.4206,0.0000,0.0000,0.0000,704.14,nan,nan,nan
7,7,8,7,0,0,1.5000,190,0.2872,nan,nan,nan,723.25,nan,nan,nan
8,9,8,8,1,0,1.5000,193,0.4838,0.0000,0.0000,0.0000,1072.76,nan,nan,nan
9,13,8,8,5,0,1.5000,196,0.4028,0.0000,0.0000,0.0000,437.58,nan,nan,nan
