model,descriptor,pca_components,n_train,property,metric,mean,std,config,cv,relative_std
gp,soap,25,100,K_VRH,RMSE,72.01653508413993,0.6840668966529837,gp_soap_pca25_n100,0.0094987476952863,0.9498747695273174
gp,soap,25,100,K_VRH,Spearman,0.3460221609738216,0.0275263455052934,gp_soap_pca25_n100,0.079550816710193,7.955081668720297
gp,soap,25,100,K_Voigt,R2,0.0185210748715155,0.0176751378603557,gp_soap_pca25_n100,0.9543257064167042,95.43257012640566
gp,soap,25,100,K_Voigt,RMSE,72.41831093779665,0.6524888863761783,gp_soap_pca25_n100,0.009009998685783,0.9009998685770638
gp,soap,25,100,K_Voigt,Spearman,0.3457937540012326,0.0252488291125154,gp_soap_pca25_n100,0.0730170190188727,7.301701899775696
gp,soap,25,100,poisson_ratio,R2,0.0099500129923031,0.0526921114955066,gp_soap_pca25_n100,5.295682682652469,529.5682629429598
gp,soap,25,100,poisson_ratio,RMSE,0.0614835483922925,0.0016680855102254,gp_soap_pca25_n100,0.0271305992227753,2.7130599178648724
gp,soap,25,100,poisson_ratio,Spearman,0.285804267957852,0.0559172566273618,gp_soap_pca25_n100,0.1956487809888409,19.564878092038544
gp,mace,25,100,elastic_anisotropy,R2,-0.0028502104790501,0.0010890894817051,gp_mace_pca25_n100,,38.210842725454505
gp,mace,25,100,elastic_anisotropy,RMSE,20.011693043187115,0.0108698293573529,gp_mace_pca25_n100,0.000543173900074,0.0543173900071346
gp,mace,25,100,elastic_anisotropy,Spearman,0.0913462580858074,0.0347323350465458,gp_mace_pca25_n100,0.3802272339817082,38.022723356545995
gp,mace,25,100,G_Reuss,R2,0.5100730141517619,0.0298825101609275,gp_mace_pca25_n100,0.0585847698895055,5.858476987802003
gp,mace,25,100,G_Reuss,RMSE,30.946007251752867,0.9516479038996624,gp_mace_pca25_n100,0.0307518800780271,3.075188007792777
gp,mace,25,100,G_Reuss,Spearman,0.7522294343055396,0.0235547880169291,gp_mace_pca25_n100,0.0313133027540659,3.1313302749903182
gp,mace,25,100,G_VRH,R2,0.5621197509488284,0.0212407062068391,gp_mace_pca25_n100,0.037786799291407,3.778679928468486
gp,mace,25,100,G_VRH,RMSE,29.167254058499417,0.7118533589563971,gp_mace_pca25_n100,0.0244059093642708,2.440590936418715
