cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,6,3,6,0,0,300.0000,506,58.2476,0.0099,23.9283,14.7151,579.26
1,6,3,3,3,0,300.0000,509,42.5075,0.0099,26.7161,16.4127,129.15
2,5,3,3,2,0,300.0000,512,65.9066,0.0099,26.2551,16.4245,139.97
3,13,4,4,9,0,300.0000,516,92.4849,0.0098,26.0786,15.2770,110.69
4,3,2,2,1,0,300.0000,518,98.3109,0.0096,24.9201,15.2822,78.37
5,5,3,3,2,0,300.0000,521,52.0212,0.0098,27.2649,16.4462,127.58
6,4,2,2,2,0,300.0000,523,161.2696,0.0098,26.4041,15.6754,127.11
7,8,4,4,4,0,300.0000,527,87.6713,0.0097,25.3611,15.9973,111.77
8,4,2,2,2,0,300.0000,529,83.0595,0.0097,25.2976,15.8419,111.62
9,4,2,2,2,0,300.0000,531,104.1371,0.0096,26.7330,16.6119,83.11
10,7,4,4,3,0,300.0000,535,78.2362,0.0097,27.1295,16.1380,93.66
11,11,4,4,7,0,300.0000,539,79.8684,0.0096,26.3672,16.1674,145.13
12,3,2,2,1,0,300.0000,541,95.1358,0.0096,27.0102,15.9896,133.21
13,9,4,4,5,0,300.0000,545,106.2182,0.0097,24.0904,14.5378,83.44
14,9,4,4,5,0,300.0000,549,90.3573,0.0097,25.2971,15.1645,117.76
15,7,4,4,3,0,300.0000,553,65.3895,0.0097,25.7646,15.8851,114.18
16,8,4,4,4,0,300.0000,557,138.3250,0.0096,23.5008,14.0002,95.95
17,2,1,1,1,0,300.0000,558,145.7493,0.0093,24.5961,14.9019,87.12
18,8,4,4,4,0,300.0000,562,64.2052,0.0092,24.4284,14.4546,103.44
19,7,4,4,3,0,300.0000,566,92.2319,0.0091,26.0574,15.3940,122.74
