cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,16,8,16,0,0,1.5000,168,0.1018,nan,nan,nan,1266.93,nan,nan,nan
1,16,8,8,8,0,1.5000,171,0.3504,0.0000,0.0000,0.0000,764.59,nan,nan,nan
2,16,8,8,8,0,1.5000,175,0.3411,0.0000,0.0000,0.0000,968.29,nan,nan,nan
3,16,8,8,8,0,1.5000,177,0.2880,0.0000,0.0000,0.0000,678.11,nan,nan,nan
4,16,8,8,8,0,1.5000,181,0.2865,0.0000,0.0000,0.0000,578.75,nan,nan,nan
5,16,8,16,0,1,1.5000,188,0.1042,nan,nan,nan,1224.60,0.9019,1.0000,1.0000
6,16,8,8,8,0,1.5000,189,0.3298,0.0000,0.0000,0.0000,576.00,nan,nan,nan
7,16,8,8,8,0,1.5000,191,0.2877,0.0000,0.0000,0.0000,633.27,nan,nan,nan
8,16,8,8,8,0,1.5000,192,0.3972,0.0000,0.0000,0.0000,638.65,nan,nan,nan
9,16,8,8,8,0,1.5000,193,0.4378,0.0000,0.0000,0.0000,724.95,nan,nan,nan
10,16,8,16,0,1,1.5000,200,0.1165,nan,nan,nan,945.02,0.9077,1.0000,1.0000
11,16,8,8,8,0,1.5000,203,0.3636,0.0000,0.0000,0.0000,1006.13,nan,nan,nan
12,16,8,8,8,0,1.5000,205,0.4120,0.0012,0.0186,0.0000,1208.88,nan,nan,nan
13,16,8,8,8,0,1.5000,206,0.3773,0.0000,0.0000,0.0000,627.21,nan,nan,nan
14,16,8,8,8,0,1.5000,208,0.3909,0.0000,0.0000,0.0000,925.71,nan,nan,nan
15,16,8,16,0,1,1.5000,213,0.1087,nan,nan,nan,1541.00,0.9567,1.0000,1.0000
16,16,8,8,8,0,1.5000,214,0.4027,0.0000,0.0000,0.0000,869.28,nan,nan,nan
17,14,8,8,6,0,1.5000,218,0.3075,0.0000,0.0000,0.0000,518.50,nan,nan,nan
18,16,8,8,8,0,1.5000,221,0.4308,0.0000,0.0000,0.0000,566.67,nan,nan,nan
19,16,8,8,8,0,1.5000,221,0.5964,0.0000,0.0000,0.0000,863.47,nan,nan,nan
