cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,10,4,10,0,0,300.0000,510,45.8024,0.0099,24.7797,15.2627,1522.09
1,6,3,3,3,0,300.0000,513,63.4892,0.0098,25.7649,15.4011,733.84
2,5,3,3,2,0,300.0000,516,99.2191,0.0098,26.4692,15.3903,138.08
3,4,2,2,2,0,300.0000,518,62.9319,0.0098,25.4832,14.8989,80.64
4,8,4,4,4,0,300.0000,522,49.0434,0.0097,23.5050,14.1044,76.30
5,7,4,4,3,0,300.0000,526,61.8712,0.0097,23.6781,14.2673,228.37
6,7,4,4,3,0,300.0000,530,64.0103,0.0097,26.1012,15.0733,313.26
7,9,4,4,5,0,300.0000,534,74.4086,0.0097,26.0690,15.9009,459.18
8,6,3,3,3,0,300.0000,537,152.8319,0.0096,25.5695,15.2972,171.05
9,4,2,2,2,0,300.0000,539,57.2732,0.0096,25.0031,14.8411,261.69
10,5,3,3,2,0,300.0000,542,92.8254,0.0096,25.0591,14.8894,109.98
11,8,4,4,4,0,300.0000,546,31.4947,0.0094,23.8350,14.0745,137.31
12,11,4,4,7,0,300.0000,550,62.8621,0.0094,23.5828,14.5871,154.48
13,4,2,2,2,0,300.0000,552,65.0591,0.0094,25.2273,14.6610,177.95
14,4,2,2,2,0,300.0000,554,74.5852,0.0093,24.6239,14.1998,85.40
15,9,4,4,5,0,300.0000,558,57.7005,0.0093,24.0092,14.0866,235.09
16,8,4,4,4,0,300.0000,562,94.8501,0.0093,24.8691,14.4715,242.45
17,10,4,4,6,0,300.0000,566,83.3563,0.0093,24.7248,14.4559,169.81
18,8,4,4,4,0,300.0000,569,72.4048,0.0093,21.6446,13.3487,224.32
19,6,3,3,3,0,300.0000,572,68.5920,0.0093,23.1555,13.4564,167.05
