number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_bags,params_n_estimators,params_neg_sample_ratio,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.9540690857314889,2026-05-29 15:47:19.826439,2026-05-29 15:50:02.708368,0 days 00:02:42.881929,0.7031707810405968,0.27953218463315727,10,5,125,1.5592004779335948,0.011114384822711307,1.953969609131142,0.8760988294276582,COMPLETE
11,0.9538761281008243,2026-05-29 15:50:02.768902,2026-05-29 15:52:46.968530,0 days 00:02:44.199628,0.7137827456726563,0.28969232317416627,10,5,125,1.5775705732126288,0.011046564754964586,1.9983757906873774,0.8810796931031994,COMPLETE
12,0.9541971798563773,2026-05-29 15:52:46.968991,2026-05-29 15:55:30.444726,0 days 00:02:43.475735,0.6891391873199937,0.29709644819696446,10,5,125,1.4687846610548618,0.033585884934471955,1.9880571168606025,0.887098392707996,COMPLETE
13,0.9553227738487667,2026-05-29 15:55:30.492803,2026-05-29 16:00:36.312481,0 days 00:05:05.819678,0.6966219731921359,0.2859857693271539,10,20,125,1.3492623280117975,0.4970853936108525,1.5282569121934015,0.9077532375130537,COMPLETE
14,0.9489850391829264,2026-05-29 16:00:36.313290,2026-05-29 16:04:29.457035,0 days 00:03:53.143745,0.8235194332173258,0.08331824119251123,9,20,100,1.2133520350734401,0.5689352158711831,1.5573906239022661,0.9601556176358149,COMPLETE
15,0.9538543811497411,2026-05-29 16:04:29.496238,2026-05-29 16:07:59.259903,0 days 00:03:29.763665,0.6709761567381894,0.16322928656744476,9,20,100,1.354448960706377,0.5094012439337637,1.1435301216309122,0.929374218090216,COMPLETE
16,0.9530236417513216,2026-05-29 16:07:59.260382,2026-05-29 16:13:52.233822,0 days 00:05:52.973440,0.6559887299629202,0.0677485020437437,10,17,150,1.1855313003495027,0.3415500949354924,0.5197688215713852,0.8307796695558711,COMPLETE
17,0.9529255627553285,2026-05-29 16:13:52.254881,2026-05-29 16:15:39.035186,0 days 00:01:46.780305,0.7281358941031667,0.2137042881298096,8,8,100,1.5329724243938245,0.6403976799290017,1.5408982793328994,0.81686801831842,COMPLETE
18,0.9525897381133615,2026-05-29 16:15:39.035678,2026-05-29 16:19:19.747377,0 days 00:03:40.711699,0.7943265793950723,0.11943542774035326,8,18,150,1.6938016428403593,0.3985223189345981,1.5698224047434852,0.930746924386335,COMPLETE
19,0.8378345804059332,2026-05-29 16:19:19.763706,2026-05-29 16:19:57.389060,0 days 00:00:37.625354,0.8530521571049273,0.040359456141514524,3,7,75,1.3747199286945915,0.16958152938775156,1.0296726462494794,0.8457587553898008,PRUNED
20,0.9523379523098537,2026-05-29 16:19:57.389473,2026-05-29 16:22:41.627580,0 days 00:02:44.238107,0.6432398904251072,0.09529161286490331,9,12,150,1.0799436985834814,0.6572415663875774,1.391909563887607,0.7673582619846032,COMPLETE
21,0.9543955826471704,2026-05-29 16:22:41.653802,2026-05-29 16:25:26.773643,0 days 00:02:45.119841,0.6995874564920044,0.2941806769266195,10,7,125,1.526917236865553,0.017358403505768782,1.9910699732021404,0.8812922533317064,COMPLETE
22,0.9550478418587991,2026-05-29 16:25:26.778729,2026-05-29 16:28:24.341903,0 days 00:02:57.563174,0.6962831044441021,0.1935355182062472,10,7,125,1.4457749319648416,0.16488005470316686,1.8749550976084244,0.9133510250312172,COMPLETE
23,0.9541630966900243,2026-05-29 16:28:24.342363,2026-05-29 16:30:37.552570,0 days 00:02:13.210207,0.765836702637975,0.20656699369545395,10,7,75,1.7366931226343028,0.19316144184961231,1.666674698559237,0.9374829231863717,COMPLETE
24,0.9546421691191496,2026-05-29 16:30:37.557771,2026-05-29 16:33:00.662941,0 days 00:02:23.105170,0.7133046056734546,0.20681252608040884,9,7,125,1.176237624554172,0.11795129666046095,1.8672270312913306,0.9777095904916449,COMPLETE
