cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,8,8,8,0,0,1.5000,164,0.1676,nan,nan,nan,1310.09,nan,nan,nan
1,12,8,8,4,0,1.5000,166,0.4732,0.0000,0.0000,0.0000,1104.40,nan,nan,nan
2,8,8,8,0,0,1.5000,170,0.2396,nan,nan,nan,1034.27,nan,nan,nan
3,12,8,8,4,0,1.5000,174,0.3754,0.0000,0.0000,0.0000,1129.32,nan,nan,nan
4,13,8,8,5,0,1.5000,175,0.4417,0.0000,0.0000,0.0000,423.38,nan,nan,nan
5,11,8,11,0,1,1.5000,177,0.0807,nan,nan,nan,1036.41,nan,nan,nan
6,8,8,8,0,0,1.5000,182,0.2383,nan,nan,nan,784.30,nan,nan,nan
7,12,8,8,4,0,1.5000,184,0.3917,0.0000,0.0000,0.0000,573.89,nan,nan,nan
8,8,8,8,0,0,1.5000,188,0.1621,nan,nan,nan,548.42,nan,nan,nan
9,11,8,8,3,0,1.5000,191,0.3177,0.0000,0.0000,0.0000,514.40,nan,nan,nan
10,12,8,12,0,1,1.5000,193,0.0601,nan,nan,nan,1286.27,nan,nan,nan
11,6,8,6,0,0,1.5000,195,0.1222,nan,nan,nan,450.03,nan,nan,nan
12,9,8,8,1,0,1.5000,197,0.4840,0.0000,0.0000,0.0000,851.37,nan,nan,nan
13,11,8,8,3,0,1.5000,201,0.3731,0.0000,0.0000,0.0000,938.18,nan,nan,nan
14,13,8,8,5,0,1.5000,203,0.4331,0.0000,0.0000,0.0000,815.22,nan,nan,nan
15,8,8,8,0,1,1.5000,206,0.0827,nan,nan,nan,935.19,0.9695,1.0000,1.0000
16,7,8,7,0,0,1.5000,209,0.2007,nan,nan,nan,952.53,nan,nan,nan
17,9,8,8,1,0,1.5000,211,0.5083,0.0000,0.0000,0.0000,990.54,nan,nan,nan
18,6,8,6,0,0,1.5000,214,0.1281,nan,nan,nan,407.19,nan,nan,nan
19,9,8,8,1,0,1.5000,216,0.4407,0.0000,0.0000,0.0000,642.81,nan,nan,nan
