file_target,rank,backbone,backbone_name,policy,seed,formula,spacegroup,apu_score,apu_decision,abstain,abstain_ood,abstain_conf,abstain_disagree,ood_score,disagreement,cgnf_score
bm,1,adit,ADiT,ACC,7,MoN,187,0.8831439018249512,1,False,False,False,False,0.980560107480881,0.056494396179914474,0.7843152342736721
bm,2,adit,ADiT,BASE,23,MoC,194,0.9777515530586243,-1,True,True,False,False,1.3066883234187716,0.014006093144416809,0.8072186881303787
bm,3,mg,MatterGen,ACC,113,Os5W3,65,0.5924684405326843,-1,True,True,True,False,1.387710778166548,0.1330333799123764,0.008600673989602682
bm,4,mg,MatterGen,ACC,7,FeRe9Os2,44,0.012131251394748688,-1,True,True,False,False,1.617301851607261,0.00972861610352993,0.1427990793995559
bm,5,mg,MatterGen,ACC,99,CoIrOs2,123,0.0854918584227562,-1,True,True,False,False,1.2713653816195278,0.054881591349840164,0.019105455295562023
bm,6,mg,MatterGen,ACC,99,CoIrOs2,123,0.08685562014579773,-1,True,True,False,False,1.2724502905241677,0.054349664598703384,0.019105455295562023
bm,7,mg,MatterGen,ACC,99,CoIrOs2,119,0.06984808295965195,-1,True,True,False,False,1.2577116638700743,0.04950064793229103,0.019105455295562023
bm,8,cf,CrystalFlow,ACC,99,Re5W,1,0.5869944095611572,-1,True,True,True,False,1.637050476207224,0.18469205498695374,0.4758458522707224
bm,9,cf,CrystalFlow,BASE,99,VIr7,187,0.9842344522476196,-1,True,True,False,False,1.2626473270003762,0.016457071527838707,0.7994643443822861
bm,10,adit,ADiT,ACC,99,TiVN2,160,0.9892793893814087,-1,True,True,False,False,1.4716538955946137,0.00687102135270834,0.322903061946854
bm,11,adit,ADiT,ACC,17,TaB2W,38,0.9949738383293152,1,False,False,False,False,0.8425288774791561,0.00294072856195271,0.7411868438124657
bm,12,mg,MatterGen,ACC,113,ReOs2Pt3,99,0.17014773190021515,-1,True,True,False,False,1.2371550380924243,0.07854428142309189,0.01253476089987267
bm,13,adit,ADiT,BASE,17,FeB2MoW,26,0.8245247602462769,-1,True,True,False,False,1.2124239011608167,0.1237538531422615,0.8082344725728035
bm,14,adit,ADiT,BASE,17,FeB2MoW,26,0.8260253667831421,-1,True,True,False,False,1.2128840041600866,0.12110915780067444,0.8082344725728035
bm,15,mg,MatterGen,ACC,113,Ti7V2N9,2,0.9754125475883484,-1,True,True,False,False,1.3071544336266716,0.01983814314007759,0.23343277686213695
bm,16,adit,ADiT,BASE,23,Mn(BMo)3,63,0.875807523727417,1,False,False,False,False,0.7625079333126928,0.06316331773996353,0.7759932112693787
bm,17,adit,ADiT,ACC,23,FeRe(PW)2,26,0.8710666298866272,-1,True,True,False,False,1.2365977799107661,0.07262573391199112,0.6112709098681808
bm,18,mg,MatterGen,BASE,113,Hf3TaN4,65,0.06294272094964981,-1,True,True,False,False,1.201119753765206,0.0465095192193985,0.3799195481883362
bm,19,cf,CrystalFlow,ACC,113,ReIr2Rh5,5,0.2376243621110916,-1,True,True,False,False,1.4706014045386537,0.13245142996311188,0.2569262573029846
bm,20,mg,MatterGen,ACC,17,CuRu13W4,6,0.18510702252388,-1,True,True,False,False,1.5516062592190392,0.09808921068906784,0.012778712313647703
cp,1,mg,MatterGen,BASE,23,Li13Mg3,38,0.00481128366664052,-1,True,True,False,False,1.4682296883115902,0.0034513059072196484,0.6883685068413615
cp,2,mg,MatterGen,ACC,7,Li4Mg,12,0.0038448560517281294,-1,True,True,False,False,1.4634494116445302,0.00230042589828372,0.6573381260037422
cp,3,mg,MatterGen,ACC,23,Li4Mg,139,0.005113551393151283,-1,True,True,False,False,1.4706619122354088,0.003446729853749275,0.6573381260037422
cp,4,cf,CrystalFlow,BASE,7,NaLi5,1,0.9728939533233643,1,False,False,False,False,0.6584249287885074,0.022461863234639168,0.8102220982313156
cp,5,mg,MatterGen,BASE,23,Li13Mg3Al2,1,0.01460201758891344,0,False,False,False,False,0.872532861107598,0.009022127836942673,0.7462368349730969
cp,6,cf,CrystalFlow,ACC,23,NaLi2,11,0.9773865938186646,1,False,False,False,False,0.8195261233731499,0.020019514486193657,0.579853866379708
cp,7,mg,MatterGen,BASE,113,Li7Mg3,1,0.0011071700137108564,-1,True,True,False,False,1.451286001557586,0.00048099158448167145,0.3820717403315939
cp,8,mg,MatterGen,BASE,113,Li5Mg3,38,0.0013540084473788738,-1,True,True,False,False,1.4936606826135863,0.0007256605313159525,0.23680268127367526
cp,9,mg,MatterGen,ACC,7,Li5Mg3,71,0.0014397469349205494,-1,True,True,False,False,1.4835940764036544,0.0006486644269898534,0.23680268127367526
cp,10,mg,MatterGen,BASE,23,Li7(MgAl)2,12,0.0876469537615776,0,False,False,False,False,0.7679049360138654,0.06371404230594635,0.7450530609488487
cp,11,mg,MatterGen,BASE,113,Li7Mg5,12,0.002033321186900139,-1,True,True,False,False,1.4912597242785464,0.001509006367996335,0.1805910681785258
cp,12,mg,MatterGen,ACC,7,Li9Mg7,1,0.0014041051035746932,-1,True,True,False,False,1.500132139568589,0.0006227126577869058,0.16099683932754374
cp,13,cf,CrystalFlow,ACC,99,Li5CaMg2,6,0.009564545936882496,-1,True,True,False,False,1.3546365347979805,0.007531344424933195,0.34774578440352344
cp,14,cf,CrystalFlow,ACC,7,LiMg,6,0.0012283474206924438,-1,True,True,False,False,1.526728743124148,0.000562771107070148,0.11658105934774653
cp,15,mg,MatterGen,ACC,17,Li3Mg4,8,0.0010760064469650388,-1,True,True,False,False,1.4976183019190963,0.0006445076433010399,0.08847234350420877
