descriptor,property,R2,best_pca,model
mace,K_Voigt,0.9135248859475972,50,gp
mace,K_VRH,0.904555865506154,50,gp
mace,K_Reuss,0.8870864397643793,50,gp
mace,G_Voigt,0.7360008434009504,50,gp
mace,G_VRH,0.6979061745329436,50,gp
mace,G_Reuss,0.6542947872460608,50,gp
mace,elastic_anisotropy,0.5063600929197924,50,gp
mace,poisson_ratio,0.5522206582173922,50,gp
orb,K_Voigt,0.93065608000155,50,gp
orb,K_VRH,0.921945431736833,50,gp
orb,K_Reuss,0.9109690667847946,50,gp
orb,G_Voigt,0.8318335294804646,50,gp
orb,G_VRH,0.8115174418372835,50,gp
orb,G_Reuss,0.7811310244180524,50,gp
orb,elastic_anisotropy,0.5820563264270555,50,gp
orb,poisson_ratio,0.6576136532153689,50,gp
soap,K_Voigt,0.616153301798948,50,gp
soap,K_VRH,0.6072319382327547,50,gp
soap,K_Reuss,0.5908060664740955,50,gp
soap,G_Voigt,0.4692677706140539,50,gp
soap,G_VRH,0.4378088129781691,50,gp
soap,G_Reuss,0.3851749790209447,50,gp
soap,elastic_anisotropy,0.1647548551610459,50,gp
soap,poisson_ratio,0.2866150961041516,50,gp
uma,K_Voigt,0.8564017536583227,50,gp
uma,K_VRH,0.8551265562940188,50,gp
uma,K_Reuss,0.8517290023282659,50,gp
uma,G_Voigt,0.7543957994567327,50,gp
uma,G_VRH,0.7345726814356233,50,gp
uma,G_Reuss,0.7101791704722034,50,gp
uma,elastic_anisotropy,0.643536482553559,50,gp
uma,poisson_ratio,0.4646625470983896,50,gp
mace,K_Voigt,0.7979361968236456,50,mtgp_2
mace,K_VRH,0.7912569619770254,50,mtgp_2
mace,K_Reuss,0.7802292068645749,50,mtgp_2
mace,G_Voigt,0.6274847160658332,50,mtgp_2
mace,G_VRH,0.6017429955295384,50,mtgp_2
mace,G_Reuss,0.5675640449202127,50,mtgp_2
mace,elastic_anisotropy,0.5757629782169373,50,mtgp_2
mace,poisson_ratio,0.3364876432719456,50,mtgp_2
orb,K_Voigt,0.894886028315403,50,mtgp_2
orb,K_VRH,0.8913492254263365,50,mtgp_2
orb,K_Reuss,0.8837619775786401,50,mtgp_2
orb,G_Voigt,0.7891768773804567,50,mtgp_2
orb,G_VRH,0.7744803674628271,50,mtgp_2
orb,G_Reuss,0.7502318042201406,50,mtgp_2
orb,elastic_anisotropy,0.632512145443466,50,mtgp_2
orb,poisson_ratio,0.6228336391855148,50,mtgp_2
soap,K_Voigt,0.3174434660165405,50,mtgp_2
soap,K_VRH,0.3136615793436323,50,mtgp_2
soap,K_Reuss,0.307162113129792,50,mtgp_2
soap,G_Voigt,0.2483965864731673,50,mtgp_2
soap,G_VRH,0.23388690423115,50,mtgp_2
soap,G_Reuss,0.2160742851115853,50,mtgp_2
soap,elastic_anisotropy,0.2085538686054094,50,mtgp_2
soap,poisson_ratio,0.1622265070262133,50,mtgp_2
uma,K_Voigt,0.7612445126105589,50,mtgp_2
uma,K_VRH,0.759699424905693,50,mtgp_2
uma,K_Reuss,0.7557883730553172,50,mtgp_2
uma,G_Voigt,0.6771258334587491,50,mtgp_2
uma,G_VRH,0.6636690177758731,50,mtgp_2
uma,G_Reuss,0.639638393814121,50,mtgp_2
uma,elastic_anisotropy,0.5983135798114213,50,mtgp_2
uma,poisson_ratio,0.3559645411642355,50,mtgp_2
mace,K_Voigt,0.8235573133237761,10,dgp
mace,K_VRH,0.8078675043074306,10,dgp
mace,K_Reuss,0.7629316273129902,10,dgp
mace,G_Voigt,0.6780238132362761,10,dgp
mace,G_VRH,0.6414239243126698,10,dgp
mace,G_Reuss,0.6033380131623913,10,dgp
mace,elastic_anisotropy,0.278068580314927,10,dgp
mace,poisson_ratio,0.0049492779740351,10,dgp
orb,K_Voigt,0.9167216881286688,25,dgp
orb,K_VRH,0.9100056094127316,25,dgp
orb,K_Reuss,0.900367031447663,25,dgp
orb,G_Voigt,0.815556079026965,25,dgp
orb,G_VRH,0.8024978264963613,25,dgp
orb,G_Reuss,0.7757685886446044,25,dgp
orb,elastic_anisotropy,0.7455714574319003,25,dgp
orb,poisson_ratio,0.5870602736296311,25,dgp
soap,K_Voigt,0.4302224933140569,25,dgp
soap,K_VRH,0.4278367142879741,25,dgp
soap,K_Reuss,0.4050376723996726,25,dgp
soap,G_Voigt,0.3492480217222296,25,dgp
soap,G_VRH,0.335495412851168,25,dgp
soap,G_Reuss,0.2932151550189394,25,dgp
soap,elastic_anisotropy,-0.0002472021714583,25,dgp
soap,poisson_ratio,0.0077778133539996,25,dgp
uma,K_Voigt,0.7496463506618758,25,dgp
uma,K_VRH,0.7652393961573459,25,dgp
uma,K_Reuss,0.7474760112384538,25,dgp
uma,G_Voigt,0.6710937025005365,25,dgp
uma,G_VRH,0.7010289327904073,25,dgp
uma,G_Reuss,0.6771698698714361,25,dgp
uma,elastic_anisotropy,0.0025196888245708,25,dgp
uma,poisson_ratio,0.0227788111018262,25,dgp
